match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2016_165_179_2016-08-13 22:00:00,2016-08-13 22:00:00,True,165,Caen,w,179,Lorient,2.27284,3,3,215,24,8,1.561,w,2.27284,1.9864,2,2,266,21,7,1.22631
Ligue_1 2016_165_178_2016-08-19 22:45:00,2016-08-19 22:45:00,False,165,Caen,l,178,Lyon,0.458346,0,0,344,32,0,0.1162,l,0.458346,2.84412,2,2,108,28,7,1.32393
Ligue_1 2016_162_165_2016-08-27 22:00:00,2016-08-27 22:00:00,True,165,Caen,w,162,SC Bastia,2.04065,2,2,208,36,6,2.6302,w,1.28055,0.376246,0,0,221,20,1,0.376246
Ligue_1 2016_163_165_2016-09-11 19:00:00,2016-09-11 19:00:00,False,165,Caen,l,163,Rennes,0.79827,0,0,281,23,5,1.3836,l,0.79827,0.715583,2,2,290,25,2,0.715583
Ligue_1 2016_161_165_2016-09-16 22:45:00,2016-09-16 22:45:00,True,165,Caen,l,161,Paris Saint Germain,1.00689,0,0,525,25,1,0.1397,l,1.00689,3.50276,6,6,175,23,9,2.74266
Ligue_1 2016_165_167_2016-09-21 21:00:00,2016-09-21 21:00:00,False,165,Caen,l,167,Angers,0.505767,1,1,272,34,5,0.6339,l,0.505767,1.31977,2,2,307,20,4,1.31977
Ligue_1 2016_165_176_2016-09-24 22:00:00,2016-09-24 22:00:00,False,165,Caen,d,176,Bordeaux,0.383979,0,0,281,20,4,0.8395999999999999,d,0.383979,0.854776,0,0,131,22,1,0.854776
Ligue_1 2016_165_174_2016-10-01 22:00:00,2016-10-01 22:00:00,True,165,Caen,w,174,Toulouse,1.35095,1,1,336,29,1,1.7053999999999998,w,0.590857,0.961493,0,0,173,30,4,0.961493
Ligue_1 2016_165_166_2016-10-15 22:00:00,2016-10-15 22:00:00,False,165,Caen,l,166,Montpellier,1.30379,2,2,245,18,6,1.3551000000000002,l,1.30379,1.31867,3,3,203,19,2,1.31867
Ligue_1 2016_165_175_2016-10-23 17:00:00,2016-10-23 17:00:00,True,165,Caen,l,175,Saint-Etienne,0.209806,0,0,347,18,2,0.5471999999999999,l,0.209806,1.04776,2,2,211,21,2,1.04776
Ligue_1 2016_165_182_2016-10-29 22:00:00,2016-10-29 22:00:00,False,165,Caen,l,182,Nancy,1.13534,0,0,222,27,7,0.7418,l,1.13534,1.86121,2,2,279,26,2,1.86121
Ligue_1 2016_165_170_2016-11-06 18:00:00,2016-11-06 18:00:00,True,165,Caen,w,170,Nice,1.85885,1,1,435,22,4,2.7135000000000002,w,1.09875,0.276349,0,0,150,25,2,0.276349
Ligue_1 2016_164_165_2016-11-20 20:00:00,2016-11-20 20:00:00,False,165,Caen,l,164,Marseille,0.0680543,0,0,351,16,1,0.16010000000000002,l,0.0680543,1.77295,1,1,226,40,5,1.77295
Ligue_1 2016_165_169_2016-11-26 23:00:00,2016-11-26 23:00:00,True,165,Caen,d,169,Guingamp,1.09524,1,1,259,18,1,1.3678,d,1.09524,1.04415,1,1,261,24,9,1.04415
Ligue_1 2016_160_165_2016-11-29 22:00:00,2016-11-29 22:00:00,False,165,Caen,l,160,Lille,1.30786,2,2,378,43,1,1.089,l,1.30786,1.69332,4,4,249,27,2,1.69332
