match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2016_161_162_2016-08-12 22:00:00,2016-08-12 22:00:00,True,162,SC Bastia,l,161,Paris Saint Germain,0.828385,0,0,380,30,0,1.4676,l,0.828385,0.664887,1,1,107,26,3,0.664887
Ligue_1 2016_162_179_2016-08-20 22:00:00,2016-08-20 22:00:00,False,162,SC Bastia,w,179,Lorient,2.25743,3,3,259,12,7,2.7301999999999995,w,1.49734,0.349438,0,0,281,25,2,0.349438
Ligue_1 2016_162_165_2016-08-27 22:00:00,2016-08-27 22:00:00,False,162,SC Bastia,l,165,Caen,0.376246,0,0,221,20,1,0.23199999999999998,l,0.376246,2.04065,2,2,208,36,6,1.28055
Ligue_1 2016_162_174_2016-09-10 22:00:00,2016-09-10 22:00:00,True,162,SC Bastia,w,174,Toulouse,0.440568,2,2,149,35,2,1.2368,w,0.440568,0.463047,1,1,117,21,4,0.463047
Ligue_1 2016_162_175_2016-09-18 19:00:00,2016-09-18 19:00:00,False,162,SC Bastia,l,175,Saint-Etienne,0.991511,0,0,298,17,3,0.4041,l,0.991511,2.2449,1,1,113,35,11,0.72471
Ligue_1 2016_162_182_2016-09-21 21:00:00,2016-09-21 21:00:00,True,162,SC Bastia,d,182,Nancy,0.319514,0,0,143,32,4,1.4723000000000002,d,0.319514,0.0748124,0,0,262,28,1,0.0748124
Ligue_1 2016_162_169_2016-09-24 22:00:00,2016-09-24 22:00:00,True,162,SC Bastia,w,169,Guingamp,0.98055,1,1,96,38,5,2.3281,w,0.98055,0.0771213,0,0,203,41,1,0.0771213
Ligue_1 2016_162_168_2016-10-01 22:00:00,2016-10-01 22:00:00,False,162,SC Bastia,l,168,Nantes,0.764407,0,0,201,19,3,0.7121999999999999,l,0.764407,1.55012,1,1,265,41,2,1.55012
Ligue_1 2016_162_167_2016-10-15 22:00:00,2016-10-15 22:00:00,True,162,SC Bastia,l,167,Angers,1.23731,1,1,230,18,3,1.6075,l,1.23731,0.950062,2,2,269,28,3,0.950062
Ligue_1 2016_160_162_2016-10-22 22:00:00,2016-10-22 22:00:00,False,162,SC Bastia,l,160,Lille,0.200333,1,1,247,25,3,0.22100000000000003,l,0.200333,1.74418,2,2,194,30,4,1.74418
