match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2016_175_176_2016-08-13 19:00:00,2016-08-13 19:00:00,False,175,Saint-Etienne,l,176,Bordeaux,1.50131,2,2,161,32,7,1.6163000000000003,l,1.50131,1.16592,3,3,207,18,3,1.16592
Ligue_1 2016_166_175_2016-08-21 19:00:00,2016-08-21 19:00:00,True,175,Saint-Etienne,w,166,Montpellier,1.58901,3,3,178,32,5,1.4044999999999999,w,1.58901,1.46843,1,1,290,28,1,1.46843
Ligue_1 2016_174_175_2016-08-28 19:00:00,2016-08-28 19:00:00,True,175,Saint-Etienne,d,174,Toulouse,0.920032,0,0,125,30,6,1.8071000000000002,d,0.920032,0.395826,0,0,268,34,0,0.395826
Ligue_1 2016_161_175_2016-09-09 22:45:00,2016-09-09 22:45:00,False,175,Saint-Etienne,d,161,Paris Saint Germain,0.293162,1,1,498,32,2,0.2019,d,0.293162,1.93914,1,1,303,19,5,1.17904
Ligue_1 2016_162_175_2016-09-18 19:00:00,2016-09-18 19:00:00,True,175,Saint-Etienne,w,162,SC Bastia,2.2449,1,1,113,35,11,2.3979,w,0.72471,0.991511,0,0,298,17,3,0.991511
Ligue_1 2016_168_175_2016-09-21 21:00:00,2016-09-21 21:00:00,False,175,Saint-Etienne,d,168,Nantes,0.189906,0,0,205,16,2,0.10149999999999999,d,0.189906,2.22085,0,0,203,27,9,1.46075
Ligue_1 2016_160_175_2016-09-25 17:00:00,2016-09-25 17:00:00,True,175,Saint-Etienne,w,160,Lille,1.25811,3,3,136,22,8,1.6776,w,1.25811,0.918539,1,1,346,19,7,0.918539
Ligue_1 2016_175_178_2016-10-02 22:45:00,2016-10-02 22:45:00,False,175,Saint-Etienne,l,178,Lyon,1.07715,0,0,225,25,3,0.8864000000000001,l,1.07715,1.74626,2,2,248,32,8,1.74626
Ligue_1 2016_175_181_2016-10-16 19:00:00,2016-10-16 19:00:00,True,175,Saint-Etienne,d,181,Dijon,1.41682,1,1,160,25,4,2.1516,d,0.656791,0.581944,1,1,382,14,5,0.581944
Ligue_1 2016_165_175_2016-10-23 17:00:00,2016-10-23 17:00:00,False,175,Saint-Etienne,w,165,Caen,1.04776,2,2,211,21,2,2.1174,w,1.04776,0.209806,0,0,347,18,2,0.209806
Ligue_1 2016_171_175_2016-10-29 22:00:00,2016-10-29 22:00:00,True,175,Saint-Etienne,d,171,Monaco,0.299166,1,1,238,18,2,0.4938,d,0.299166,1.24441,1,1,202,32,2,1.24441
Ligue_1 2016_175_180_2016-11-06 20:00:00,2016-11-06 20:00:00,False,175,Saint-Etienne,d,180,Metz,0.521897,0,0,224,21,4,1.1352,d,0.521897,0.687109,0,0,238,23,8,0.687109
Ligue_1 2016_170_175_2016-11-20 23:45:00,2016-11-20 23:45:00,True,175,Saint-Etienne,l,170,Nice,1.61342,0,0,490,41,5,1.7572999999999999,l,1.61342,1.17968,1,1,199,11,5,1.17968
Ligue_1 2016_167_175_2016-11-27 18:00:00,2016-11-27 18:00:00,False,175,Saint-Etienne,w,167,Angers,1.16621,2,2,178,18,2,0.739,w,1.16621,1.96494,1,1,249,26,2,1.20484
Ligue_1 2016_164_175_2016-11-30 22:00:00,2016-11-30 22:00:00,True,175,Saint-Etienne,d,164,Marseille,0.767009,0,0,333,21,4,0.8845999999999999,d,0.767009,1.30811,0,0,162,31,5,1.30811
Ligue_1 2016_163_175_2016-12-04 18:00:00,2016-12-04 18:00:00,False,175,Saint-Etienne,l,163,Rennes,0.444425,0,0,287,14,2,0.6411,l,0.444425,1.30398,2,2,268,31,9,1.30398
Ligue_1 2016_169_175_2016-12-11 20:00:00,2016-12-11 20:00:00,True,175,Saint-Etienne,w,169,Guingamp,0.62768,1,1,343,28,1,0.6589,w,0.62768,1.5297,0,0,210,32,6,1.5297
Ligue_1 2016_175_179_2016-12-17 23:00:00,2016-12-17 23:00:00,False,175,Saint-Etienne,l,179,Lorient,0.372589,1,1,295,11,3,0.25329999999999997,l,0.372589,2.16637,2,2,175,20,11,2.16637
Ligue_1 2016_175_182_2016-12-21 23:50:00,2016-12-21 23:50:00,True,175,Saint-Etienne,d,182,Nancy,1.38219,0,0,129,30,9,2.3943,d,1.38219,0.16258,0,0,211,29,0,0.16258
