match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2018_178_224_2018-08-12 16:00:00,2018-08-12 16:00:00,False,224,Amiens,l,178,Lyon,0.286084,0,0,359,23,0,0.4789,l,0.286084,1.30809,2,2,147,24,4,1.30809
Ligue_1 2018_166_224_2018-08-18 21:00:00,2018-08-18 21:00:00,True,224,Amiens,l,166,Montpellier,1.11001,1,1,185,24,4,2.2502,l,0.349916,0.308208,2,2,298,18,3,0.308208
Ligue_1 2018_177_224_2018-08-25 21:00:00,2018-08-25 21:00:00,True,224,Amiens,w,177,Reims,2.18312,4,4,251,32,9,2.5158,w,2.18312,0.700141,1,1,345,20,1,0.700141
Ligue_1 2018_175_224_2018-09-02 13:00:00,2018-09-02 13:00:00,False,224,Amiens,d,175,Saint-Etienne,0.325126,0,0,268,13,3,0.8848,d,0.325126,0.737428,0,0,155,26,6,0.737428
Ligue_1 2018_160_224_2018-09-15 18:00:00,2018-09-15 18:00:00,True,224,Amiens,l,160,Lille,1.44867,2,2,249,17,4,0.4612,l,0.688578,2.81999,3,3,229,25,7,1.2998
Ligue_1 2018_224_225_2018-09-22 18:00:00,2018-09-22 18:00:00,False,224,Amiens,l,225,Strasbourg,0.672883,1,1,225,21,2,0.9165,l,0.672883,1.07472,3,3,218,27,5,1.07472
Ligue_1 2018_163_224_2018-09-26 17:00:00,2018-09-26 17:00:00,True,224,Amiens,w,163,Rennes,0.730869,2,2,189,21,2,0.5589,w,0.730869,1.83024,1,1,187,21,3,1.83024
Ligue_1 2018_165_224_2018-09-29 18:00:00,2018-09-29 18:00:00,False,224,Amiens,l,165,Caen,0.247116,0,0,229,13,1,0.2835,l,0.247116,1.44696,1,1,201,26,3,0.686865
Ligue_1 2018_181_224_2018-10-06 18:00:00,2018-10-06 18:00:00,True,224,Amiens,w,181,Dijon,0.301024,1,1,294,37,2,1.1452,w,0.301024,0.371877,0,0,211,27,8,0.371877
Ligue_1 2018_161_224_2018-10-20 15:00:00,2018-10-20 15:00:00,False,224,Amiens,l,161,Paris Saint Germain,0.573532,0,0,349,22,1,0.21610000000000001,l,0.573532,2.50391,5,5,225,22,11,2.50391
Ligue_1 2018_168_224_2018-10-27 18:00:00,2018-10-27 18:00:00,True,224,Amiens,l,168,Nantes,1.03691,1,1,149,24,6,0.7796000000000001,l,1.03691,1.6779,2,2,261,27,2,1.6779
Ligue_1 2018_170_224_2018-11-03 19:00:00,2018-11-03 19:00:00,False,224,Amiens,l,170,Nice,0.702143,0,0,337,32,4,0.747,l,0.702143,1.24182,1,1,264,18,3,1.24182
Ligue_1 2018_174_224_2018-11-10 19:00:00,2018-11-10 19:00:00,False,224,Amiens,w,174,Toulouse,0.703611,1,1,184,21,9,0.7739,w,0.703611,1.46625,0,0,241,22,14,1.46625
Ligue_1 2018_164_224_2018-11-25 20:00:00,2018-11-25 20:00:00,True,224,Amiens,l,164,Marseille,0.994152,1,1,316,24,4,0.6796000000000001,l,0.994152,1.84765,3,3,217,24,12,1.08762
Ligue_1 2018_224_235_2018-12-01 19:00:00,2018-12-01 19:00:00,False,224,Amiens,l,235,Nimes,0.737512,0,0,225,24,4,0.48150000000000004,l,0.737512,2.01592,3,3,215,17,5,2.01592
Ligue_1 2018_171_224_2018-12-04 18:00:00,2018-12-04 18:00:00,True,224,Amiens,l,171,Monaco,0.710707,0,0,216,28,4,0.4479,l,0.710707,1.77175,2,2,277,19,5,0.251556
Ligue_1 2018_169_224_2018-12-08 19:00:00,2018-12-08 19:00:00,False,224,Amiens,w,169,Guingamp,1.57965,2,2,139,19,3,1.7939,w,1.57965,1.12624,1,1,120,28,9,1.12624
Ligue_1 2018_176_224_2018-12-23 00:00:00,2018-12-23 00:00:00,False,224,Amiens,d,176,Bordeaux,0.348658,1,1,300,34,6,1.0997,d,0.348658,0.477339,1,1,254,21,6,0.477339
Ligue_1 2018_167_224_2019-01-08 18:00:00,2019-01-08 18:00:00,True,224,Amiens,d,167,Angers,1.67735,0,0,226,25,6,2.5188,d,1.67735,0.225282,0,0,328,12,1,0.225282
Ligue_1 2018_161_224_2019-01-12 16:00:00,2019-01-12 16:00:00,True,224,Amiens,l,161,Paris Saint Germain,0.280069,0,0,334,15,0,0.1231,l,0.280069,2.45409,3,3,128,35,11,1.694
Ligue_1 2018_160_224_2019-01-18 19:45:00,2019-01-18 19:45:00,False,224,Amiens,l,160,Lille,0.372963,1,1,293,24,1,0.13219999999999998,l,0.372963,2.42512,2,2,188,29,8,1.66503
Ligue_1 2018_178_224_2019-01-27 16:00:00,2019-01-27 16:00:00,True,224,Amiens,l,178,Lyon,0.667387,0,0,302,30,6,0.8745,l,0.667387,1.24157,1,1,140,26,7,1.24157
Ligue_1 2018_163_224_2019-02-02 19:00:00,2019-02-02 19:00:00,False,224,Amiens,l,163,Rennes,0.681757,0,0,260,20,1,0.443,l,0.681757,1.92834,1,1,233,18,6,1.92834
Ligue_1 2018_165_224_2019-02-09 19:00:00,2019-02-09 19:00:00,True,224,Amiens,w,165,Caen,0.830006,1,1,196,24,5,1.7630000000000001,w,0.830006,0.385482,0,0,248,25,2,0.385482
Ligue_1 2018_164_224_2019-02-16 16:00:00,2019-02-16 16:00:00,False,224,Amiens,l,164,Marseille,1.0545,0,0,301,24,5,1.1627,l,1.0545,1.28871,2,2,212,33,4,1.28871
Ligue_1 2018_170_224_2019-02-23 19:00:00,2019-02-23 19:00:00,True,224,Amiens,w,170,Nice,1.66901,1,1,361,25,5,2.5763000000000003,w,1.66901,0.204022,0,0,122,15,2,0.204022
Ligue_1 2018_177_224_2019-03-02 19:00:00,2019-03-02 19:00:00,False,224,Amiens,d,177,Reims,2.06668,2,2,263,20,1,2.1485000000000003,d,1.30659,1.21225,2,2,152,16,4,1.21225
Ligue_1 2018_224_235_2019-03-09 19:00:00,2019-03-09 19:00:00,True,224,Amiens,w,235,Nimes,2.30832,2,2,144,24,7,2.4945999999999997,w,2.30832,0.756547,1,1,128,22,4,0.756547
Ligue_1 2018_167_224_2019-03-16 19:00:00,2019-03-16 19:00:00,False,224,Amiens,d,167,Angers,0.513682,0,0,186,27,0,0.5202,d,0.513682,1.41618,0,0,185,22,8,0.656088
Ligue_1 2018_176_224_2019-03-31 13:00:00,2019-03-31 13:00:00,True,224,Amiens,d,176,Bordeaux,0.663195,0,0,178,22,6,1.4254,d,0.663195,0.543639,0,0,193,28,2,0.543639
Ligue_1 2018_175_224_2019-04-06 19:00:00,2019-04-06 19:00:00,True,224,Amiens,d,175,Saint-Etienne,1.16144,2,2,276,19,3,0.8111,d,1.16144,2.00231,2,2,123,15,6,2.00231
Ligue_1 2018_181_224_2019-04-12 18:00:00,2019-04-12 18:00:00,False,224,Amiens,d,181,Dijon,0.205846,0,0,211,15,4,0.3771,d,0.205846,1.31762,0,0,144,20,16,1.31762
Ligue_1 2018_168_224_2019-04-21 14:00:00,2019-04-21 14:00:00,False,224,Amiens,l,168,Nantes,0.49349,2,2,265,20,2,0.632,l,0.49349,1.31106,3,3,214,23,9,1.31106
Ligue_1 2018_224_225_2019-04-28 14:00:00,2019-04-28 14:00:00,True,224,Amiens,d,225,Strasbourg,0.495867,0,0,315,26,2,1.4753,d,0.495867,0.329978,0,0,272,33,4,0.329978
Ligue_1 2018_166_224_2019-05-05 14:00:00,2019-05-05 14:00:00,False,224,Amiens,d,166,Montpellier,0.184865,1,1,180,29,3,0.8230999999999999,d,0.184865,0.557285,1,1,188,24,6,0.557285
Ligue_1 2018_174_224_2019-05-11 19:00:00,2019-05-11 19:00:00,True,224,Amiens,d,174,Toulouse,0.735648,0,0,205,26,4,1.6623,d,0.735648,0.357155,0,0,214,23,2,0.357155
Ligue_1 2018_171_224_2019-05-18 19:00:00,2019-05-18 19:00:00,False,224,Amiens,l,171,Monaco,0.920134,0,0,100,16,9,1.382,l,0.920134,0.853588,2,2,227,35,1,0.853588
Ligue_1 2018_169_224_2019-05-24 19:05:00,2019-05-24 19:05:00,True,224,Amiens,w,169,Guingamp,2.9567,2,2,321,29,8,2.4852,w,2.9567,1.21866,1,1,164,21,3,1.21866
