match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2018_169_175_2018-08-11 21:00:00,2018-08-11 21:00:00,False,169,Guingamp,l,175,Saint-Etienne,1.37217,1,1,203,17,5,1.7638,l,0.61208,0.934842,2,2,264,20,2,0.934842
Ligue_1 2018_161_169_2018-08-18 18:00:00,2018-08-18 18:00:00,True,169,Guingamp,l,161,Paris Saint Germain,1.3524,1,1,369,24,8,0.5567,l,1.3524,2.62399,3,3,149,40,12,1.8639
Ligue_1 2018_160_169_2018-08-26 16:00:00,2018-08-26 16:00:00,False,169,Guingamp,l,160,Lille,0.563755,0,0,246,20,4,0.47329999999999994,l,0.563755,1.70571,3,3,278,16,6,1.70571
Ligue_1 2018_169_174_2018-09-01 18:00:00,2018-09-01 18:00:00,True,169,Guingamp,l,174,Toulouse,2.05332,1,1,204,25,5,2.0753,l,2.05332,1.02165,2,2,224,13,2,1.02165
Ligue_1 2018_164_169_2018-09-16 19:00:00,2018-09-16 19:00:00,False,169,Guingamp,l,164,Marseille,0.14654,0,0,362,15,0,0.12160000000000001,l,0.14654,2.10486,4,4,218,33,6,2.10486
Ligue_1 2018_169_176_2018-09-23 15:00:00,2018-09-23 15:00:00,True,169,Guingamp,l,176,Bordeaux,2.05919,1,1,264,32,3,2.3414,l,1.29909,0.812676,3,3,178,22,5,0.812676
Ligue_1 2018_169_235_2018-09-26 17:00:00,2018-09-26 17:00:00,False,169,Guingamp,d,235,Nimes,0.355414,0,0,231,15,2,0.6004,d,0.355414,0.922377,0,0,110,24,5,0.162481
Ligue_1 2018_167_169_2018-09-29 18:00:00,2018-09-29 18:00:00,False,169,Guingamp,w,167,Angers,1.49767,1,1,291,12,5,2.3758999999999997,w,1.49767,0.366935,0,0,182,30,10,0.366935
Ligue_1 2018_166_169_2018-10-06 18:00:00,2018-10-06 18:00:00,True,169,Guingamp,d,166,Montpellier,0.757802,1,1,353,22,2,1.0287,d,0.757802,1.08337,1,1,223,24,5,1.08337
Ligue_1 2018_165_169_2018-10-20 18:00:00,2018-10-20 18:00:00,False,169,Guingamp,d,165,Caen,0.420901,0,0,382,14,6,0.9757,d,0.420901,0.663293,0,0,199,30,5,0.663293
Ligue_1 2018_169_225_2018-10-27 18:00:00,2018-10-27 18:00:00,True,169,Guingamp,d,225,Strasbourg,1.20639,1,1,310,16,5,1.2013,d,1.20639,1.33564,1,1,165,16,2,0.575547
Ligue_1 2018_168_169_2018-11-04 14:00:00,2018-11-04 14:00:00,False,169,Guingamp,l,168,Nantes,0.16042,0,0,225,18,1,0.033600000000000005,l,0.16042,2.4544,5,5,224,19,4,1.6943
Ligue_1 2018_169_178_2018-11-10 16:00:00,2018-11-10 16:00:00,True,169,Guingamp,l,178,Lyon,1.29165,2,2,320,26,2,1.1802000000000001,l,0.531551,1.50726,4,4,142,25,5,1.50726
Ligue_1 2018_169_177_2018-11-24 19:00:00,2018-11-24 19:00:00,False,169,Guingamp,l,177,Reims,1.26231,1,1,196,25,3,1.5625999999999998,l,0.502213,1.07478,2,2,243,17,5,1.07478
Ligue_1 2018_169_170_2018-12-01 19:00:00,2018-12-01 19:00:00,True,169,Guingamp,d,170,Nice,1.0441,0,0,527,17,3,1.7770000000000001,d,1.0441,0.616059,0,0,210,19,1,0.616059
Ligue_1 2018_169_181_2018-12-05 18:00:00,2018-12-05 18:00:00,False,169,Guingamp,l,181,Dijon,0.901172,1,1,272,29,2,1.936,l,0.901172,0.258741,2,2,138,30,1,0.258741
Ligue_1 2018_169_224_2018-12-08 19:00:00,2018-12-08 19:00:00,True,169,Guingamp,l,224,Amiens,1.12624,1,1,120,28,9,0.9398,l,1.12624,1.57965,2,2,139,19,3,1.57965
Ligue_1 2018_169_171_2018-12-22 19:00:00,2018-12-22 19:00:00,False,169,Guingamp,w,171,Monaco,1.05145,2,2,295,33,4,1.8969,w,1.05145,0.516533,0,0,153,33,6,0.516533
Ligue_1 2018_169_175_2019-01-12 19:00:00,2019-01-12 19:00:00,True,169,Guingamp,l,175,Saint-Etienne,0.562421,0,0,341,34,7,1.2588000000000001,l,0.562421,0.565001,1,1,229,21,3,0.565001
Ligue_1 2018_163_169_2019-01-16 18:00:00,2019-01-16 18:00:00,True,169,Guingamp,w,163,Rennes,1.13952,2,2,339,20,6,1.1128,w,1.13952,1.41986,1,1,160,23,10,1.41986
Ligue_1 2018_161_169_2019-01-19 16:00:00,2019-01-19 16:00:00,False,169,Guingamp,l,161,Paris Saint Germain,0.0286998,0,0,249,8,2,0.0003,l,0.0286998,5.85948,9,9,179,35,26,5.85948
Ligue_1 2018_169_177_2019-01-26 19:00:00,2019-01-26 19:00:00,True,169,Guingamp,l,177,Reims,0.444499,0,0,239,28,4,1.0386,l,0.444499,0.658018,1,1,194,18,3,0.658018
Ligue_1 2018_160_169_2019-02-10 16:00:00,2019-02-10 16:00:00,True,169,Guingamp,l,160,Lille,0.590045,0,0,287,33,2,0.6005,l,0.590045,1.33904,2,2,214,20,6,0.578944
Ligue_1 2018_169_178_2019-02-15 19:45:00,2019-02-15 19:45:00,False,169,Guingamp,l,178,Lyon,1.94709,1,1,450,22,6,1.6606,l,1.94709,1.57413,2,2,155,18,12,1.57413
Ligue_1 2018_169_176_2019-02-20 18:00:00,2019-02-20 18:00:00,False,169,Guingamp,d,176,Bordeaux,1.2912,0,0,327,32,2,1.2555,d,1.2912,1.3793,0,0,177,32,8,1.3793
