match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2018_164_174_2018-08-10 21:45:00,2018-08-10 21:45:00,False,174,Toulouse,l,164,Marseille,0.234157,0,0,331,31,3,0.033100000000000004,l,0.234157,3.46292,4,4,198,31,4,2.70283
Ligue_1 2018_174_176_2018-08-19 18:00:00,2018-08-19 18:00:00,True,174,Toulouse,w,176,Bordeaux,1.27761,2,2,275,14,3,1.8061999999999998,w,1.27761,0.784815,1,1,295,26,1,0.784815
Ligue_1 2018_174_235_2018-08-25 21:00:00,2018-08-25 21:00:00,True,174,Toulouse,w,235,Nimes,2.72202,1,1,143,20,4,2.8258,w,1.2019,0.486732,0,0,318,38,3,0.486732
Ligue_1 2018_169_174_2018-09-01 18:00:00,2018-09-01 18:00:00,False,174,Toulouse,w,169,Guingamp,1.02165,2,2,224,13,2,0.698,w,1.02165,2.05332,1,1,204,25,5,2.05332
Ligue_1 2018_171_174_2018-09-15 18:00:00,2018-09-15 18:00:00,True,174,Toulouse,d,171,Monaco,1.04734,1,1,176,25,5,1.9385,d,1.04734,0.411114,1,1,268,31,4,0.411114
Ligue_1 2018_167_174_2018-09-22 18:00:00,2018-09-22 18:00:00,False,174,Toulouse,d,167,Angers,0.419431,0,0,159,24,5,1.0654,d,0.419431,0.613569,0,0,343,17,2,0.613569
Ligue_1 2018_174_175_2018-09-25 19:00:00,2018-09-25 19:00:00,True,174,Toulouse,l,175,Saint-Etienne,1.09674,2,2,190,16,4,0.5626,l,1.09674,2.23179,3,3,246,17,6,2.23179
Ligue_1 2018_163_174_2018-09-30 13:00:00,2018-09-30 13:00:00,False,174,Toulouse,d,163,Rennes,0.278664,1,1,291,19,0,0.10919999999999999,d,0.278664,2.45218,1,1,167,26,5,1.69208
Ligue_1 2018_170_174_2018-10-05 18:45:00,2018-10-05 18:45:00,True,174,Toulouse,d,170,Nice,1.19251,1,1,348,26,6,1.7643,d,1.19251,0.732437,1,1,198,42,6,0.732437
Ligue_1 2018_168_174_2018-10-20 18:00:00,2018-10-20 18:00:00,False,174,Toulouse,l,168,Nantes,0.540454,0,0,242,22,1,0.1407,l,0.540454,2.70942,4,4,296,27,3,2.70942
Ligue_1 2018_166_174_2018-10-27 18:00:00,2018-10-27 18:00:00,True,174,Toulouse,l,166,Montpellier,1.13389,0,0,241,22,7,0.988,l,1.13389,1.64491,3,3,255,21,7,1.64491
Ligue_1 2018_174_225_2018-11-03 19:00:00,2018-11-03 19:00:00,False,174,Toulouse,d,225,Strasbourg,1.10788,1,1,394,9,2,1.3956,d,1.10788,1.10891,1,1,157,18,5,1.10891
Ligue_1 2018_174_224_2018-11-10 19:00:00,2018-11-10 19:00:00,True,174,Toulouse,l,224,Amiens,1.46625,0,0,241,22,14,1.9532,l,1.46625,0.703611,1,1,184,21,9,0.703611
Ligue_1 2018_161_174_2018-11-24 16:00:00,2018-11-24 16:00:00,False,174,Toulouse,l,161,Paris Saint Germain,0.557678,0,0,345,9,5,0.46430000000000005,l,0.557678,1.71842,1,1,135,17,10,1.71842
Ligue_1 2018_174_181_2018-12-02 14:00:00,2018-12-02 14:00:00,True,174,Toulouse,d,181,Dijon,0.794616,2,2,399,17,2,0.4835,d,0.794616,2.01627,2,2,160,32,9,2.01627
Ligue_1 2018_174_177_2018-12-05 18:00:00,2018-12-05 18:00:00,False,174,Toulouse,w,177,Reims,1.2521,1,1,193,25,2,1.1477,w,1.2521,1.55092,0,0,178,21,5,1.55092
Ligue_1 2018_165_174_2018-12-18 00:00:00,2018-12-18 00:00:00,False,174,Toulouse,l,165,Caen,1.38531,1,1,187,35,1,1.2761,l,0.62528,1.44798,2,2,226,22,1,0.687955
Ligue_1 2018_160_174_2018-12-22 19:00:00,2018-12-22 19:00:00,False,174,Toulouse,w,160,Lille,1.66998,2,2,229,31,4,1.8112000000000001,w,0.149786,1.21833,1,1,168,15,4,1.21833
Ligue_1 2018_174_225_2019-01-13 16:00:00,2019-01-13 16:00:00,True,174,Toulouse,l,225,Strasbourg,1.49547,1,1,228,21,8,1.2911,l,0.735376,1.59408,2,2,242,15,3,1.59408
Ligue_1 2018_174_178_2019-01-16 18:00:00,2019-01-16 18:00:00,True,174,Toulouse,d,178,Lyon,0.912447,2,2,268,11,1,0.8062,d,0.152352,1.64178,2,2,124,22,15,1.64178
Ligue_1 2018_174_235_2019-01-19 19:00:00,2019-01-19 19:00:00,False,174,Toulouse,w,235,Nimes,1.07431,1,1,180,17,1,1.5647,w,1.07431,0.847241,0,0,175,26,4,0.847241
Ligue_1 2018_167_174_2019-01-27 00:00:00,2019-01-27 00:00:00,True,174,Toulouse,d,167,Angers,1.46217,0,0,230,24,9,1.4516,d,0.702078,1.33953,0,0,298,18,4,0.579439
Ligue_1 2018_171_174_2019-02-02 19:00:00,2019-02-02 19:00:00,False,174,Toulouse,l,171,Monaco,0.842206,1,1,180,18,1,1.0104,l,0.842206,1.25415,2,2,272,27,12,1.25415
Ligue_1 2018_174_177_2019-02-10 14:00:00,2019-02-10 14:00:00,True,174,Toulouse,d,177,Reims,0.608776,1,1,161,26,4,0.5697,d,0.608776,1.41872,1,1,275,28,4,1.41872
Ligue_1 2018_174_176_2019-02-17 14:00:00,2019-02-17 14:00:00,False,174,Toulouse,l,176,Bordeaux,1.86337,1,1,145,30,7,2.2104,l,1.86337,0.793463,2,2,244,23,6,0.793463
Ligue_1 2018_165_174_2019-02-24 14:00:00,2019-02-24 14:00:00,True,174,Toulouse,d,165,Caen,1.37742,1,1,156,22,10,0.7761,d,1.37742,2.12374,1,1,196,18,2,2.12374
Ligue_1 2018_174_178_2019-03-03 16:00:00,2019-03-03 16:00:00,False,174,Toulouse,l,178,Lyon,0.44588,1,1,333,28,1,0.0246,l,0.44588,3.78139,5,5,173,28,3,3.02129
Ligue_1 2018_169_174_2019-03-10 14:00:00,2019-03-10 14:00:00,True,174,Toulouse,w,169,Guingamp,1.6201,1,1,109,19,13,2.2491000000000003,w,1.6201,0.508737,0,0,297,18,5,0.508737
Ligue_1 2018_170_174_2019-03-15 18:00:00,2019-03-15 18:00:00,False,174,Toulouse,d,170,Nice,1.05922,1,1,264,44,7,1.6461000000000001,d,1.05922,0.689083,1,1,219,21,4,0.689083
Ligue_1 2018_161_174_2019-03-31 19:00:00,2019-03-31 19:00:00,True,174,Toulouse,l,161,Paris Saint Germain,1.1462,0,0,348,24,5,1.2599,l,1.1462,1.21757,1,1,160,38,8,1.21757
Ligue_1 2018_168_174_2019-04-07 14:00:00,2019-04-07 14:00:00,True,174,Toulouse,w,168,Nantes,2.91718,1,1,157,27,5,2.7348999999999997,w,2.15708,0.749901,0,0,207,12,6,0.749901
Ligue_1 2018_166_174_2019-04-14 14:00:00,2019-04-14 14:00:00,False,174,Toulouse,l,166,Montpellier,0.214379,1,1,199,26,1,0.1467,l,0.214379,2.02444,2,2,250,25,4,2.02444
Ligue_1 2018_160_174_2019-04-21 14:00:00,2019-04-21 14:00:00,True,174,Toulouse,d,160,Lille,0.509305,0,0,224,26,5,0.8145,d,0.509305,1.07885,0,0,167,36,7,1.07885
