match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2019_161_235_2019-08-11 20:00:00,2019-08-11 20:00:00,True,161,Paris Saint Germain,w,235,Nimes,3.61599,3,3,138,34,12,2.9539999999999997,w,2.8559,0.305387,0,0,475,9,3,0.305387
Ligue_1 2019_161_163_2019-08-18 20:00:00,2019-08-18 20:00:00,False,161,Paris Saint Germain,l,163,Rennes,0.844939,1,1,230,28,5,1.0390000000000001,l,0.844939,1.18588,2,2,360,19,5,1.18588
Ligue_1 2019_161_174_2019-08-25 20:00:00,2019-08-25 20:00:00,True,161,Paris Saint Germain,w,174,Toulouse,4.70776,4,4,151,34,12,2.9701000000000004,w,3.94766,0.699812,0,0,331,12,0,0.699812
Ligue_1 2019_161_180_2019-08-30 19:45:00,2019-08-30 19:45:00,False,161,Paris Saint Germain,w,180,Metz,2.01186,2,2,151,32,5,2.6536,w,1.25176,0.360572,0,0,495,27,1,0.360572
Ligue_1 2019_161_225_2019-09-14 15:30:00,2019-09-14 15:30:00,True,161,Paris Saint Germain,w,225,Strasbourg,0.839304,1,1,232,35,13,1.5546,w,0.839304,0.561424,0,0,304,16,2,0.561424
Ligue_1 2019_161_178_2019-09-22 19:00:00,2019-09-22 19:00:00,False,161,Paris Saint Germain,w,178,Lyon,1.25713,1,1,284,36,15,2.1076,w,1.25713,0.373068,0,0,365,17,1,0.373068
Ligue_1 2019_161_177_2019-09-25 19:00:00,2019-09-25 19:00:00,True,161,Paris Saint Germain,l,177,Reims,0.530839,0,0,147,24,4,0.7562,l,0.530839,1.17459,2,2,425,21,2,1.17459
Ligue_1 2019_161_176_2019-09-28 15:30:00,2019-09-28 15:30:00,False,161,Paris Saint Germain,w,176,Bordeaux,2.83454,1,1,232,39,22,2.9262,w,2.83454,0.104666,0,0,365,15,0,0.104666
Ligue_1 2019_161_167_2019-10-05 16:30:00,2019-10-05 16:30:00,True,161,Paris Saint Germain,w,167,Angers,3.35081,4,4,187,24,17,2.8919,w,3.35081,0.488442,0,0,572,16,4,0.488442
Ligue_1 2019_161_170_2019-10-18 19:45:00,2019-10-18 19:45:00,False,161,Paris Saint Germain,w,170,Nice,3.38134,4,4,235,31,12,2.8522999999999996,w,3.38134,0.730506,1,1,347,26,5,0.730506
Ligue_1 2019_161_164_2019-10-27 20:00:00,2019-10-27 20:00:00,True,161,Paris Saint Germain,w,164,Marseille,3.22926,4,4,209,27,11,2.8961,w,3.22926,0.544773,0,0,481,29,4,0.544773
Ligue_1 2019_161_181_2019-11-01 19:45:00,2019-11-01 19:45:00,False,161,Paris Saint Germain,l,181,Dijon,3.04569,1,1,172,16,13,2.6799,l,3.04569,0.822624,2,2,398,21,6,0.822624
Ligue_1 2019_161_241_2019-11-09 16:30:00,2019-11-09 16:30:00,False,161,Paris Saint Germain,w,241,Brest,2.54466,2,2,244,26,11,2.3274,w,2.54466,1.13488,1,1,373,37,7,1.13488
Ligue_1 2019_160_161_2019-11-22 19:45:00,2019-11-22 19:45:00,True,161,Paris Saint Germain,w,160,Lille,2.68119,2,2,275,18,13,2.6116,w,2.68119,0.747212,0,0,485,29,4,0.747212
Ligue_1 2019_161_168_2019-12-04 20:05:00,2019-12-04 20:05:00,True,161,Paris Saint Germain,w,168,Nantes,2.04225,2,2,209,30,8,2.5912999999999995,w,1.28216,0.471802,0,0,477,35,4,0.471802
