match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2020_170_210_2020-08-23 15:00:00,2020-08-23 15:00:00,False,210,Lens,l,170,Nice,3.03614,1,1,360,29,5,2.9621,l,2.27604,0.180464,2,2,218,30,3,0.180464
Ligue_1 2020_161_210_2020-09-10 21:00:00,2020-09-10 21:00:00,True,210,Lens,w,161,Paris Saint Germain,1.71747,1,1,538,35,5,2.5627999999999997,w,1.71747,0.344198,0,0,117,24,4,0.344198
Ligue_1 2020_179_210_2020-09-13 13:00:00,2020-09-13 13:00:00,False,210,Lens,w,179,Lorient,1.98746,3,3,193,27,8,2.2647,w,1.22737,0.919743,2,2,228,33,3,0.159648
Ligue_1 2020_176_210_2020-09-19 15:00:00,2020-09-19 15:00:00,True,210,Lens,w,176,Bordeaux,3.02331,2,2,260,26,6,2.8739999999999997,w,2.26321,0.359182,1,1,341,29,2,0.359182
Ligue_1 2020_210_235_2020-09-27 13:00:00,2020-09-27 13:00:00,False,210,Lens,d,235,Nimes,1.37195,1,1,233,22,6,2.2236000000000002,d,1.37195,0.370624,1,1,225,18,5,0.370624
Ligue_1 2020_175_210_2020-10-03 15:00:00,2020-10-03 15:00:00,True,210,Lens,w,175,Saint-Etienne,2.13387,2,2,158,51,8,2.8573,w,1.37384,0.0932933,0,0,308,14,0,0.0932933
Ligue_1 2020_160_210_2020-10-18 19:00:00,2020-10-18 19:00:00,False,210,Lens,l,160,Lille,0.254965,0,0,313,27,1,0.0744,l,0.254965,2.90262,4,4,230,21,4,2.90262
Ligue_1 2020_177_210_2020-11-08 14:00:00,2020-11-08 14:00:00,True,210,Lens,d,177,Reims,2.04125,4,4,193,29,5,2.1571000000000002,d,2.04125,1.02999,4,4,354,17,0,1.02999
Ligue_1 2020_181_210_2020-11-22 14:00:00,2020-11-22 14:00:00,False,210,Lens,w,181,Dijon,1.28012,1,1,326,13,4,1.9935,w,1.28012,0.672083,0,0,287,30,3,0.672083
Ligue_1 2020_168_210_2020-11-25 12:00:00,2020-11-25 12:00:00,True,210,Lens,d,168,Nantes,0.875771,1,1,267,28,6,0.40059999999999996,d,0.875771,2.16695,1,1,228,27,6,1.40692
Ligue_1 2020_167_210_2020-11-29 14:00:00,2020-11-29 14:00:00,True,210,Lens,l,167,Angers,1.3761,1,1,221,22,8,0.5294,l,1.3761,2.62737,3,3,375,24,6,2.62737
Ligue_1 2020_163_210_2020-12-05 16:00:00,2020-12-05 16:00:00,False,210,Lens,w,163,Rennes,0.927878,2,2,282,17,3,1.7981000000000003,w,0.927878,0.503822,0,0,158,27,7,0.503822
Ligue_1 2020_166_210_2020-12-12 20:00:00,2020-12-12 20:00:00,True,210,Lens,l,166,Montpellier,1.38862,2,2,209,23,9,1.1409,l,0.628522,1.61719,3,3,305,16,1,1.61719
Ligue_1 2020_171_210_2020-12-16 20:00:00,2020-12-16 20:00:00,False,210,Lens,w,171,Monaco,0.963125,3,3,193,34,1,1.3683,w,0.963125,0.928491,0,0,509,25,2,0.928491
Ligue_1 2020_180_210_2020-12-19 16:00:00,2020-12-19 16:00:00,False,210,Lens,l,180,Metz,1.14532,0,0,178,19,9,1.3422,l,1.14532,1.16038,2,2,272,24,3,1.16038
Ligue_1 2020_210_241_2020-12-23 18:00:00,2020-12-23 18:00:00,True,210,Lens,w,241,Brest,2.02607,2,2,290,22,8,2.0437,w,1.26597,1.17648,1,1,286,31,3,0.416387
Ligue_1 2020_178_210_2021-01-06 20:00:00,2021-01-06 20:00:00,False,210,Lens,l,178,Lyon,0.947234,2,2,249,23,6,0.6762999999999999,l,0.947234,1.82314,3,3,262,12,9,1.06305
Ligue_1 2020_210_225_2021-01-09 20:00:00,2021-01-09 20:00:00,True,210,Lens,l,225,Strasbourg,0.57533,0,0,148,26,5,0.5408,l,0.57533,1.57769,1,1,352,20,4,1.57769
Ligue_1 2020_168_210_2021-01-17 14:00:00,2021-01-17 14:00:00,False,210,Lens,d,168,Nantes,1.35642,1,1,171,27,6,1.5172,d,0.596322,1.15976,1,1,302,31,2,0.399669
Ligue_1 2020_164_210_2021-01-20 22:00:00,2021-01-20 22:00:00,False,210,Lens,w,164,Marseille,1.55004,1,1,263,34,1,2.6590000000000003,w,1.55004,0.118724,0,0,320,27,1,0.118724
Ligue_1 2020_170_210_2021-01-23 16:00:00,2021-01-23 16:00:00,True,210,Lens,l,170,Nice,1.18896,0,0,240,24,3,1.9651,l,1.18896,0.547266,1,1,294,26,4,0.547266
Ligue_1 2020_166_210_2021-01-30 16:00:00,2021-01-30 16:00:00,False,210,Lens,w,166,Montpellier,1.07049,2,2,213,17,3,1.4015000000000002,w,1.07049,1.03811,1,1,191,28,4,1.03811
Ligue_1 2020_164_210_2021-02-03 20:00:00,2021-02-03 20:00:00,True,210,Lens,d,164,Marseille,1.53188,2,2,151,29,7,1.4781,d,1.53188,1.3201,2,2,291,23,7,1.3201
Ligue_1 2020_163_210_2021-02-06 20:00:00,2021-02-06 20:00:00,True,210,Lens,d,163,Rennes,1.09008,0,0,282,21,3,1.9491,d,1.09008,0.549443,0,0,337,27,4,0.549443
Ligue_1 2020_177_210_2021-02-13 18:00:00,2021-02-13 18:00:00,False,210,Lens,d,177,Reims,3.15679,1,1,173,26,8,2.8074999999999997,d,2.39676,0.679141,1,1,303,20,1,0.679141
Ligue_1 2020_181_210_2021-02-21 14:00:00,2021-02-21 14:00:00,True,210,Lens,w,181,Dijon,1.29752,2,2,234,27,4,1.7293,w,1.29752,0.88646,1,1,279,21,2,0.88646
Ligue_1 2020_167_210_2021-02-28 14:00:00,2021-02-28 14:00:00,False,210,Lens,d,167,Angers,1.0798,2,2,128,26,3,0.8029000000000001,d,1.0798,1.71598,2,2,245,22,2,0.955884
Ligue_1 2020_175_210_2021-03-03 18:00:00,2021-03-03 18:00:00,False,210,Lens,w,175,Saint-Etienne,1.97268,3,3,316,16,4,1.5586,w,1.21258,1.73128,2,2,158,29,7,0.971182
Ligue_1 2020_180_210_2021-03-14 14:00:00,2021-03-14 14:00:00,True,210,Lens,d,180,Metz,2.37531,2,2,276,30,6,2.0848999999999998,d,2.37531,1.46077,2,2,245,20,1,0.700678
