match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2020_168_176_2020-08-21 17:00:00,2020-08-21 17:00:00,False,168,Nantes,d,176,Bordeaux,0.187821,0,0,299,23,2,0.6994,d,0.187821,0.600075,0,0,318,13,0,0.600075
Ligue_1 2020_168_235_2020-08-30 13:00:00,2020-08-30 13:00:00,True,168,Nantes,w,235,Nimes,2.15547,2,2,284,17,1,2.3619,w,1.39544,0.874864,1,1,143,24,8,0.874864
Ligue_1 2020_168_171_2020-09-13 15:00:00,2020-09-13 15:00:00,False,168,Nantes,l,171,Monaco,1.10894,1,1,357,21,5,0.6357999999999999,l,1.10894,2.27042,2,2,272,30,8,2.27042
Ligue_1 2020_168_175_2020-09-20 15:00:00,2020-09-20 15:00:00,True,168,Nantes,d,175,Saint-Etienne,1.33579,2,2,208,26,8,1.5556,d,1.33579,1.03738,2,2,211,20,3,1.03738
Ligue_1 2020_160_168_2020-09-25 19:00:00,2020-09-25 19:00:00,False,168,Nantes,l,160,Lille,0.660348,0,0,293,29,2,0.3514,l,0.660348,2.09387,2,2,224,28,9,1.33378
Ligue_1 2020_168_170_2020-10-03 19:00:00,2020-10-03 19:00:00,False,168,Nantes,l,170,Nice,1.13528,1,1,458,14,3,0.7424999999999999,l,0.37518,1.9654,2,2,151,42,11,1.9654
Ligue_1 2020_168_241_2020-10-18 13:00:00,2020-10-18 13:00:00,True,168,Nantes,w,241,Brest,1.90561,3,3,294,23,5,2.2601,w,1.90561,0.839348,1,1,135,32,1,0.839348
Ligue_1 2020_161_168_2020-10-31 20:00:00,2020-10-31 20:00:00,True,168,Nantes,l,161,Paris Saint Germain,1.63127,0,0,515,21,4,0.6005,l,0.871178,2.72536,3,3,288,23,8,1.96526
Ligue_1 2020_168_179_2020-11-08 14:00:00,2020-11-08 14:00:00,False,168,Nantes,w,179,Lorient,1.46578,2,2,183,23,4,1.1273000000000002,w,1.46578,1.77629,0,0,205,26,3,1.77629
Ligue_1 2020_168_180_2020-11-22 12:00:00,2020-11-22 12:00:00,True,168,Nantes,d,180,Metz,1.48835,1,1,139,29,11,1.4809999999999999,d,1.48835,1.30332,1,1,320,23,3,0.543229
Ligue_1 2020_168_210_2020-11-25 12:00:00,2020-11-25 12:00:00,False,168,Nantes,d,210,Lens,2.16695,1,1,228,27,6,2.4106,d,1.40692,0.875771,1,1,267,28,6,0.875771
Ligue_1 2020_164_168_2020-11-28 16:00:00,2020-11-28 16:00:00,False,168,Nantes,l,164,Marseille,0.322283,1,1,340,24,1,0.097,l,0.322283,2.7459,3,3,210,27,8,1.98587
Ligue_1 2020_168_225_2020-12-06 14:00:00,2020-12-06 14:00:00,True,168,Nantes,l,225,Strasbourg,0.633507,0,0,201,22,3,0.0786,l,0.633507,3.19753,4,4,351,21,6,1.67734
Ligue_1 2020_168_181_2020-12-13 14:00:00,2020-12-13 14:00:00,True,168,Nantes,d,181,Dijon,1.88182,1,1,382,22,4,2.067,d,1.12173,1.02506,1,1,181,22,5,1.02506
Ligue_1 2020_168_177_2020-12-16 18:00:00,2020-12-16 18:00:00,False,168,Nantes,l,177,Reims,2.08259,2,2,228,25,3,1.6482,l,2.08259,1.74124,3,3,229,21,4,0.981149
Ligue_1 2020_167_168_2020-12-20 14:00:00,2020-12-20 14:00:00,True,168,Nantes,d,167,Angers,0.573136,1,1,184,25,9,0.9754,d,0.573136,0.942065,1,1,324,35,4,0.942065
Ligue_1 2020_168_178_2020-12-23 20:00:00,2020-12-23 20:00:00,False,168,Nantes,l,178,Lyon,1.10394,0,0,463,18,3,0.15849999999999997,l,1.10394,3.9821,3,3,212,22,12,3.9821
Ligue_1 2020_163_168_2021-01-06 18:00:00,2021-01-06 18:00:00,True,168,Nantes,d,163,Rennes,0.600663,0,0,466,18,1,1.4187,d,0.600663,0.490669,0,0,143,18,6,0.490669
Ligue_1 2020_166_168_2021-01-09 20:00:00,2021-01-09 20:00:00,False,168,Nantes,d,166,Montpellier,1.31067,1,1,250,25,1,1.6844999999999999,d,1.31067,0.905512,1,1,281,24,4,0.905512
Ligue_1 2020_168_210_2021-01-17 14:00:00,2021-01-17 14:00:00,True,168,Nantes,d,210,Lens,1.15976,1,1,302,31,2,1.1125,d,0.399669,1.35642,1,1,171,27,6,0.596322
Ligue_1 2020_168_180_2021-01-24 14:00:00,2021-01-24 14:00:00,False,168,Nantes,l,180,Metz,0.239963,0,0,208,21,3,0.6862,l,0.239963,0.833905,2,2,294,28,1,0.833905
Ligue_1 2020_168_171_2021-01-31 20:00:00,2021-01-31 20:00:00,True,168,Nantes,l,171,Monaco,1.23932,1,1,381,21,2,1.1339,l,1.23932,1.52441,2,2,167,32,8,1.52441
Ligue_1 2020_168_175_2021-02-03 20:00:00,2021-02-03 20:00:00,False,168,Nantes,d,175,Saint-Etienne,1.25487,1,1,233,35,3,1.1438,d,1.25487,1.50363,1,1,210,20,3,1.50363
Ligue_1 2020_160_168_2021-02-07 16:00:00,2021-02-07 16:00:00,True,168,Nantes,l,160,Lille,0.400333,0,0,312,28,1,0.3472,l,0.400333,1.7948,2,2,264,20,8,1.7948
Ligue_1 2020_167_168_2021-02-14 14:00:00,2021-02-14 14:00:00,False,168,Nantes,w,167,Angers,1.75357,3,3,330,26,4,1.3412,w,0.993474,1.72075,1,1,147,23,3,0.960852
Ligue_1 2020_164_168_2021-02-20 16:00:00,2021-02-20 16:00:00,True,168,Nantes,d,164,Marseille,0.779308,1,1,384,19,2,1.5828999999999998,d,0.779308,0.564279,1,1,122,24,1,0.564279
