match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2021_168_171_2021-08-06 19:00:00,2021-08-06 19:00:00,True,171,Monaco,d,168,Nantes,1.76899,1,1,111,28,13,2.5701,d,1.76899,0.239715,1,1,442,17,2,0.239715
Ligue_1 2021_171_179_2021-08-13 19:00:00,2021-08-13 19:00:00,False,171,Monaco,l,179,Lorient,0.86536,0,0,114,47,9,1.2894999999999999,l,0.86536,0.779459,1,1,330,25,3,0.0193635
Ligue_1 2021_171_210_2021-08-21 15:00:00,2021-08-21 15:00:00,True,171,Monaco,l,210,Lens,0.241985,0,0,127,21,12,0.7935,l,0.241985,0.598613,2,2,320,24,2,0.598613
Ligue_1 2021_171_172_2021-08-29 11:00:00,2021-08-29 11:00:00,False,171,Monaco,w,172,Troyes,1.74073,2,2,241,32,6,2.3594,w,1.74073,0.589287,1,1,293,35,4,0.589287
Ligue_1 2021_164_171_2021-09-11 19:00:00,2021-09-11 19:00:00,True,171,Monaco,l,164,Marseille,0.890728,0,0,293,33,7,0.9664999999999999,l,0.890728,1.36062,2,2,284,16,2,1.36062
Ligue_1 2021_170_171_2021-09-19 11:00:00,2021-09-19 11:00:00,False,171,Monaco,d,170,Nice,2.59113,2,2,281,19,9,1.9022999999999999,d,1.83103,1.94463,2,2,278,19,6,1.18454
Ligue_1 2021_171_175_2021-09-22 17:00:00,2021-09-22 17:00:00,True,171,Monaco,w,175,Saint-Etienne,1.73834,3,3,172,41,11,2.5613,w,0.978241,0.325508,1,1,291,23,4,0.325508
Ligue_1 2021_171_270_2021-09-26 15:00:00,2021-09-26 15:00:00,False,171,Monaco,w,270,Clermont Foot,1.79185,3,3,328,19,7,1.7945,w,1.79185,1.30935,1,1,271,19,1,1.30935
Ligue_1 2021_171_176_2021-10-03 13:00:00,2021-10-03 13:00:00,True,171,Monaco,w,176,Bordeaux,1.7267,3,3,238,27,6,2.3902,w,0.96661,0.574838,0,0,246,17,0,0.574838
Ligue_1 2021_171_178_2021-10-16 19:00:00,2021-10-16 19:00:00,False,171,Monaco,l,178,Lyon,0.514906,0,0,441,26,4,0.09190000000000001,l,0.514906,2.81711,2,2,255,25,8,2.05702
Ligue_1 2021_166_171_2021-10-24 15:00:00,2021-10-24 15:00:00,True,171,Monaco,w,166,Montpellier,2.11858,3,3,190,25,6,2.1571000000000002,w,2.11858,1.16841,1,1,381,20,3,0.408312
Ligue_1 2021_171_241_2021-10-31 16:00:00,2021-10-31 16:00:00,False,171,Monaco,l,241,Brest,0.507286,0,0,116,31,2,0.2973,l,0.507286,1.77116,2,2,422,17,2,1.77116
Ligue_1 2021_171_177_2021-11-07 14:00:00,2021-11-07 14:00:00,False,171,Monaco,d,177,Reims,0.973878,0,0,193,29,5,2.0730999999999997,d,0.973878,0.33707,0,0,301,21,1,0.33707
Ligue_1 2021_160_171_2021-11-19 20:00:00,2021-11-19 20:00:00,True,171,Monaco,d,160,Lille,0.938265,2,2,208,31,15,0.5384,d,0.938265,2.16486,2,2,233,21,3,1.40477
Ligue_1 2021_171_225_2021-11-28 14:00:00,2021-11-28 14:00:00,True,171,Monaco,d,225,Strasbourg,1.58216,1,1,214,26,6,1.9543,d,0.822062,0.945132,1,1,333,18,4,0.185037
Ligue_1 2021_167_171_2021-12-01 18:00:00,2021-12-01 18:00:00,False,171,Monaco,w,167,Angers,3.50553,3,3,247,38,10,2.79,w,3.50553,1.03304,1,1,261,19,0,1.03304
