match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2023_164_177_2023-08-12 18:00:00,2023-08-12 18:00:00,True,164,Marseille,w,177,Reims,1.5127,2,2,249,17,10,1.7955,w,1.5127,0.993374,1,1,156,29,3,0.993374
Ligue_1 2023_164_180_2023-08-18 19:00:00,2023-08-18 19:00:00,False,164,Marseille,d,180,Metz,1.49349,2,2,191,18,4,2.3229,d,1.49349,0.360903,2,2,220,26,3,0.360903
Ligue_1 2023_164_241_2023-08-26 17:00:00,2023-08-26 17:00:00,True,164,Marseille,w,241,Brest,3.50896,2,2,285,15,14,2.4177999999999997,w,3.50896,1.72801,0,0,254,22,7,1.72801
Ligue_1 2023_164_168_2023-09-01 19:00:00,2023-09-01 19:00:00,False,164,Marseille,d,168,Nantes,2.77866,1,1,181,19,14,2.682,d,2.77866,0.621642,1,1,311,8,4,0.621642
Ligue_1 2023_164_174_2023-09-17 15:05:00,2023-09-17 15:05:00,True,164,Marseille,d,174,Toulouse,1.16853,0,0,200,24,13,1.5607,d,1.16853,0.882315,0,0,247,16,9,0.882315
Ligue_1 2023_161_164_2023-09-24 18:45:00,2023-09-24 18:45:00,False,164,Marseille,l,161,Paris Saint Germain,0.568702,0,0,483,23,2,0.29869999999999997,l,0.568702,2.00222,4,4,122,32,9,2.00222
Ligue_1 2023_164_171_2023-09-30 19:00:00,2023-09-30 19:00:00,False,164,Marseille,l,171,Monaco,0.908767,2,2,220,28,4,0.7974999999999999,l,0.908767,1.5165,3,3,232,35,9,1.5165
Ligue_1 2023_164_282_2023-10-08 11:00:00,2023-10-08 11:00:00,True,164,Marseille,w,282,Le Havre,3.00689,3,3,284,16,11,2.9741,w,3.00689,0.131369,0,0,409,20,1,0.131369
Ligue_1 2023_164_170_2023-10-21 19:00:00,2023-10-21 19:00:00,False,164,Marseille,l,170,Nice,1.00304,0,0,354,16,6,1.458,l,1.00304,0.828728,1,1,283,22,5,0.828728
Ligue_1 2023_160_164_2023-11-04 20:00:00,2023-11-04 20:00:00,True,164,Marseille,d,160,Lille,0.751791,0,0,348,22,6,1.7810000000000001,d,0.751791,0.326226,0,0,265,18,5,0.326226
Ligue_1 2023_164_210_2023-11-12 20:45:00,2023-11-12 20:45:00,False,164,Marseille,l,210,Lens,0.723678,0,0,166,24,4,0.9269000000000001,l,0.723678,1.21972,1,1,266,37,5,1.21972
Ligue_1 2023_164_225_2023-11-25 20:00:00,2023-11-25 20:00:00,False,164,Marseille,d,225,Strasbourg,1.36665,1,1,198,31,13,1.4893,d,1.36665,1.18208,1,1,284,24,3,1.18208
