match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2024_170_275_2024-08-18 13:00:00,2024-08-18 13:00:00,True,275,Auxerre,w,170,Nice,3.03248,2,2,325,15,8,2.7847,w,3.03248,0.58056,1,1,257,29,10,0.58056
Ligue_1 2024_168_275_2024-08-25 15:00:00,2024-08-25 15:00:00,False,275,Auxerre,l,168,Nantes,0.876338,0,0,135,13,7,0.8157,l,0.876338,1.52541,2,2,355,21,4,1.52541
Ligue_1 2024_275_282_2024-09-01 15:00:00,2024-09-01 15:00:00,False,275,Auxerre,l,282,Le Havre,0.743523,1,1,248,19,2,0.1871,l,0.743523,2.83661,3,3,294,16,10,2.07651
Ligue_1 2024_171_275_2024-09-14 17:00:00,2024-09-14 17:00:00,True,275,Auxerre,l,171,Monaco,0.419427,0,0,367,35,3,0.06810000000000001,l,0.419427,3.37672,3,3,181,31,8,3.37672
Ligue_1 2024_166_275_2024-09-22 15:00:00,2024-09-22 15:00:00,False,275,Auxerre,l,166,Montpellier,1.42586,2,2,229,31,5,1.0852,l,1.42586,1.78396,3,3,201,22,7,1.78396
Ligue_1 2024_241_275_2024-09-27 17:00:00,2024-09-27 17:00:00,True,275,Auxerre,w,241,Brest,2.9504,3,3,334,25,5,2.7194999999999996,w,2.1903,0.726126,0,0,135,20,1,0.726126
Ligue_1 2024_175_275_2024-10-05 15:00:00,2024-10-05 15:00:00,False,275,Auxerre,l,175,Saint-Etienne,0.71964,1,1,205,22,4,0.3196,l,0.71964,2.45106,3,3,280,28,2,2.45106
Ligue_1 2024_177_275_2024-10-20 15:00:00,2024-10-20 15:00:00,True,275,Auxerre,w,177,Reims,2.86385,2,2,303,24,8,2.5392,w,2.10375,1.22872,1,1,135,18,5,1.22872
Ligue_1 2024_178_275_2024-10-27 14:00:00,2024-10-27 14:00:00,False,275,Auxerre,d,178,Lyon,1.0609,2,2,290,19,2,0.5974,d,1.0609,2.21183,2,2,175,21,8,1.45173
Ligue_1 2024_163_275_2024-11-03 16:00:00,2024-11-03 16:00:00,True,275,Auxerre,w,163,Rennes,2.39897,4,4,338,20,8,2.5947,w,1.63888,0.701873,0,0,203,25,2,0.701873
Ligue_1 2024_164_275_2024-11-08 19:45:00,2024-11-08 19:45:00,False,275,Auxerre,w,164,Marseille,2.09466,3,3,347,22,1,1.4557,w,2.09466,2.02831,1,1,106,32,6,1.26821
