match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2024_164_241_2024-08-17 15:00:00,2024-08-17 15:00:00,True,241,Brest,l,164,Marseille,1.51475,1,1,337,33,2,0.41459999999999997,l,0.754656,2.96496,5,5,294,13,5,1.44477
Ligue_1 2024_210_241_2024-08-25 13:00:00,2024-08-25 13:00:00,False,241,Brest,l,210,Lens,0.695576,0,0,263,14,6,0.07300000000000001,l,0.695576,4.01926,2,2,274,26,20,4.01926
Ligue_1 2024_175_241_2024-08-31 15:00:00,2024-08-31 15:00:00,True,241,Brest,w,175,Saint-Etienne,3.60698,4,4,238,21,9,2.9690999999999996,w,2.08679,0.256612,0,0,154,23,4,0.256612
Ligue_1 2024_161_241_2024-09-14 19:00:00,2024-09-14 19:00:00,False,241,Brest,l,161,Paris Saint Germain,1.00928,1,1,388,26,1,0.26649999999999996,l,0.249183,2.91245,3,3,184,20,15,2.91245
Ligue_1 2024_174_241_2024-09-22 15:00:00,2024-09-22 15:00:00,True,241,Brest,w,174,Toulouse,0.709045,2,2,270,14,2,0.2747,w,0.709045,2.3505,0,0,183,35,7,1.5904
Ligue_1 2024_241_275_2024-09-27 17:00:00,2024-09-27 17:00:00,False,241,Brest,l,275,Auxerre,0.726126,0,0,135,20,1,0.1905,l,0.726126,2.9504,3,3,334,25,5,2.1903
Ligue_1 2024_241_282_2024-10-06 15:00:00,2024-10-06 15:00:00,True,241,Brest,w,282,Le Havre,0.890433,2,2,171,27,5,0.5167,w,0.890433,2.11913,0,0,261,29,4,2.11913
Ligue_1 2024_163_241_2024-10-19 15:00:00,2024-10-19 15:00:00,True,241,Brest,d,163,Rennes,1.42573,1,1,204,28,6,1.5904999999999998,d,0.665637,1.14445,1,1,255,15,3,1.14445
Ligue_1 2024_177_241_2024-10-26 17:00:00,2024-10-26 17:00:00,False,241,Brest,w,177,Reims,1.64092,2,2,248,17,4,1.5278,w,0.880825,1.44911,1,1,212,23,5,1.44911
Ligue_1 2024_170_241_2024-11-02 18:00:00,2024-11-02 18:00:00,True,241,Brest,l,170,Nice,1.02021,0,0,199,33,9,0.6435,l,1.02021,1.92085,1,1,321,15,6,1.92085
Ligue_1 2024_166_241_2024-11-10 16:00:00,2024-11-10 16:00:00,False,241,Brest,l,166,Montpellier,1.88669,1,1,117,21,3,0.6026,l,1.88669,3.03758,3,3,315,21,4,1.51739
Ligue_1 2024_171_241_2024-11-22 18:00:00,2024-11-22 18:00:00,False,241,Brest,l,171,Monaco,1.38684,2,2,300,35,4,0.5933,l,1.38684,2.55781,3,3,217,24,4,2.55781
Ligue_1 2024_225_241_2024-11-30 18:00:00,2024-11-30 18:00:00,True,241,Brest,w,225,Strasbourg,2.90417,3,3,434,26,3,2.6618999999999997,w,1.38398,0.930345,1,1,224,15,12,0.930345
