match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2024_170_275_2024-08-18 13:00:00,2024-08-18 13:00:00,False,170,Nice,l,275,Auxerre,0.58056,1,1,257,29,10,0.1432,l,0.58056,3.03248,2,2,325,15,8,3.03248
Ligue_1 2024_170_174_2024-08-25 15:00:00,2024-08-25 15:00:00,True,170,Nice,d,174,Toulouse,1.23725,1,1,189,26,8,1.6157,d,1.23725,0.946618,1,1,289,41,6,0.946618
Ligue_1 2024_167_170_2024-09-01 15:00:00,2024-09-01 15:00:00,False,170,Nice,w,167,Angers,2.53408,4,4,249,23,8,2.3026,w,2.53408,1.33204,1,1,238,30,10,0.571945
Ligue_1 2024_164_170_2024-09-14 15:00:00,2024-09-14 15:00:00,False,170,Nice,l,164,Marseille,1.72041,0,0,280,20,5,1.9348,l,1.72041,1.02694,2,2,236,24,4,1.02694
Ligue_1 2024_170_175_2024-09-20 18:45:00,2024-09-20 18:45:00,True,170,Nice,w,175,Saint-Etienne,4.50007,8,8,268,16,3,2.9964,w,3.73998,0.335532,0,0,517,31,6,0.335532
Ligue_1 2024_170_210_2024-09-28 15:00:00,2024-09-28 15:00:00,False,170,Nice,d,210,Lens,0.9614,0,0,214,23,2,0.6234999999999999,d,0.9614,2.06424,0,0,207,30,9,2.06424
Ligue_1 2024_161_170_2024-10-06 18:45:00,2024-10-06 18:45:00,True,170,Nice,d,161,Paris Saint Germain,0.326466,1,1,337,12,4,0.8176,d,0.326466,0.822322,1,1,165,26,13,0.822322
Ligue_1 2024_168_170_2024-10-20 15:00:00,2024-10-20 15:00:00,False,170,Nice,d,168,Nantes,0.776883,1,1,242,25,9,1.2409,d,0.776883,0.832336,1,1,309,23,6,0.832336
Ligue_1 2024_170_171_2024-10-27 16:00:00,2024-10-27 16:00:00,True,170,Nice,w,171,Monaco,1.79435,2,2,249,34,13,2.1208,w,1.79435,0.796703,1,1,149,23,6,0.796703
Ligue_1 2024_170_241_2024-11-02 18:00:00,2024-11-02 18:00:00,False,170,Nice,w,241,Brest,1.92085,1,1,321,15,6,2.1327,w,1.92085,1.02021,0,0,199,33,9,1.02021
Ligue_1 2024_160_170_2024-11-10 14:00:00,2024-11-10 14:00:00,True,170,Nice,d,160,Lille,1.92983,2,2,303,19,11,1.1838,d,1.92983,2.19562,2,2,236,29,5,2.19562
Ligue_1 2024_170_225_2024-11-24 19:45:00,2024-11-24 19:45:00,True,170,Nice,w,225,Strasbourg,2.03827,2,2,276,37,8,2.4705,w,2.03827,0.524154,1,1,347,22,2,0.524154
Ligue_1 2024_170_178_2024-12-01 16:00:00,2024-12-01 16:00:00,False,170,Nice,l,178,Lyon,2.03621,1,1,256,20,9,0.7918000000000001,l,2.03621,2.88467,4,4,201,29,5,2.12457
Ligue_1 2024_170_282_2024-12-07 18:00:00,2024-12-07 18:00:00,True,170,Nice,w,282,Le Havre,2.27599,2,2,215,23,6,2.0139,w,1.51589,1.42884,1,1,238,22,6,1.42884
Ligue_1 2024_166_170_2024-12-15 14:00:00,2024-12-15 14:00:00,False,170,Nice,d,166,Montpellier,1.55192,2,2,238,23,4,0.7804,d,1.55192,2.45121,2,2,218,21,8,2.45121
Ligue_1 2024_163_170_2025-01-03 20:00:00,2025-01-03 20:00:00,True,170,Nice,w,163,Rennes,1.51944,3,3,270,23,4,1.3542999999999998,w,1.51944,1.50451,2,2,245,31,10,1.50451
Ligue_1 2024_170_177_2025-01-11 18:00:00,2025-01-11 18:00:00,False,170,Nice,w,177,Reims,3.22004,4,4,330,16,7,2.7203000000000004,w,2.45995,0.950928,2,2,283,23,1,0.950928
Ligue_1 2024_160_170_2025-01-17 20:05:00,2025-01-17 20:05:00,False,170,Nice,l,160,Lille,2.90437,1,1,283,23,5,2.5145,l,2.90437,1.29219,2,2,242,30,7,1.29219
Ligue_1 2024_164_170_2025-01-26 19:45:00,2025-01-26 19:45:00,True,170,Nice,w,164,Marseille,2.10992,2,2,371,28,6,2.0909999999999997,w,2.10992,1.11157,0,0,166,30,7,1.11157
Ligue_1 2024_170_174_2025-02-02 14:00:00,2025-02-02 14:00:00,False,170,Nice,d,174,Toulouse,1.51342,1,1,269,26,5,1.9798,d,0.753321,0.854551,1,1,292,28,6,0.854551
Ligue_1 2024_170_210_2025-02-08 16:00:00,2025-02-08 16:00:00,True,170,Nice,w,210,Lens,3.37347,2,2,243,30,10,2.719,w,2.61337,1.02488,0,0,357,28,2,1.02488
Ligue_1 2024_170_282_2025-02-16 16:15:00,2025-02-16 16:15:00,False,170,Nice,w,282,Le Havre,1.22276,3,3,309,33,10,1.9881000000000002,w,1.22276,0.555829,1,1,293,19,5,0.555829
Ligue_1 2024_166_170_2025-02-23 16:15:00,2025-02-23 16:15:00,True,170,Nice,w,166,Montpellier,2.14122,2,2,204,24,15,2.2702,w,2.14122,0.916772,0,0,294,28,3,0.916772
Ligue_1 2024_170_175_2025-03-01 16:00:00,2025-03-01 16:00:00,False,170,Nice,w,175,Saint-Etienne,2.41374,3,3,338,17,6,2.4417999999999997,w,2.41374,1.01895,1,1,249,29,9,1.01895
Ligue_1 2024_170_178_2025-03-09 19:45:00,2025-03-09 19:45:00,True,170,Nice,l,178,Lyon,1.50591,0,0,462,23,6,1.9760999999999997,l,1.50591,0.78019,2,2,214,22,2,0.78019
Ligue_1 2024_170_275_2025-03-14 19:45:00,2025-03-14 19:45:00,True,170,Nice,d,275,Auxerre,2.29143,1,1,251,32,19,2.4916,d,2.29143,0.606081,1,1,256,31,2,0.606081
Ligue_1 2024_170_171_2025-03-29 20:05:00,2025-03-29 20:05:00,False,170,Nice,l,171,Monaco,0.60151,1,1,261,19,2,0.2333,l,0.60151,2.52612,2,2,199,34,17,1.76603
Ligue_1 2024_168_170_2025-04-04 18:45:00,2025-04-04 18:45:00,True,170,Nice,l,168,Nantes,2.17922,1,1,110,24,10,2.2557000000000005,l,2.17922,0.945149,2,2,306,18,1,0.945149
Ligue_1 2024_170_225_2025-04-12 19:05:00,2025-04-12 19:05:00,False,170,Nice,d,225,Strasbourg,1.83829,2,2,307,18,14,2.1652,d,1.83829,0.789035,2,2,279,14,5,0.789035
Ligue_1 2024_167_170_2025-04-20 15:15:00,2025-04-20 15:15:00,True,170,Nice,w,167,Angers,2.72567,2,2,295,21,17,2.8968999999999996,w,2.72567,0.278639,1,1,296,13,0,0.278639
Ligue_1 2024_161_170_2025-04-25 18:45:00,2025-04-25 18:45:00,False,170,Nice,w,161,Paris Saint Germain,1.63001,3,3,328,15,5,0.2031,w,1.63001,4.50698,1,1,148,25,19,4.50698
Ligue_1 2024_170_177_2025-05-02 18:45:00,2025-05-02 18:45:00,True,170,Nice,w,177,Reims,1.2118,1,1,232,33,5,1.661,w,1.2118,0.876237,0,0,284,30,5,0.876237
Ligue_1 2024_163_170_2025-05-10 19:00:00,2025-05-10 19:00:00,False,170,Nice,l,163,Rennes,1.23457,0,0,260,25,5,0.7289999999999999,l,1.23457,2.06744,2,2,236,16,12,2.06744
