match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2024_160_177_2024-08-17 17:00:00,2024-08-17 17:00:00,True,177,Reims,l,160,Lille,0.0758907,0,0,336,16,3,0.0781,l,0.0758907,2.31711,2,2,163,35,7,2.31711
Ligue_1 2024_164_177_2024-08-25 18:45:00,2024-08-25 18:45:00,False,177,Reims,d,164,Marseille,1.01201,2,2,422,18,3,0.326,d,1.01201,2.94016,2,2,187,20,7,2.94016
Ligue_1 2024_163_177_2024-09-01 15:00:00,2024-09-01 15:00:00,True,177,Reims,w,163,Rennes,2.00948,2,2,201,18,4,2.1172,w,2.00948,1.02619,1,1,244,27,4,1.02619
Ligue_1 2024_168_177_2024-09-15 15:00:00,2024-09-15 15:00:00,False,177,Reims,w,168,Nantes,0.549218,2,2,316,12,9,0.6103999999999999,w,0.549218,1.43325,1,1,414,24,9,1.43325
Ligue_1 2024_161_177_2024-09-21 19:00:00,2024-09-21 19:00:00,True,177,Reims,d,161,Paris Saint Germain,0.760314,1,1,438,11,2,0.5261,d,0.760314,1.90277,1,1,130,23,13,1.90277
Ligue_1 2024_167_177_2024-09-29 15:00:00,2024-09-29 15:00:00,False,177,Reims,w,167,Angers,4.18122,3,3,302,25,6,2.8402,w,4.18122,1.08284,1,1,302,29,4,1.08284
Ligue_1 2024_166_177_2024-10-06 15:00:00,2024-10-06 15:00:00,True,177,Reims,w,166,Montpellier,3.71514,4,4,284,24,10,2.866,w,2.95504,0.874094,2,2,254,21,7,0.874094
Ligue_1 2024_177_275_2024-10-20 15:00:00,2024-10-20 15:00:00,False,177,Reims,l,275,Auxerre,1.22872,1,1,135,18,5,0.3198,l,1.22872,2.86385,2,2,303,24,8,2.10375
Ligue_1 2024_177_241_2024-10-26 17:00:00,2024-10-26 17:00:00,True,177,Reims,l,241,Brest,1.44911,1,1,212,23,5,1.1912,l,1.44911,1.64092,2,2,248,17,4,0.880825
Ligue_1 2024_174_177_2024-11-03 14:00:00,2024-11-03 14:00:00,False,177,Reims,l,174,Toulouse,0.818661,0,0,205,23,3,1.2555,l,0.818661,0.910081,1,1,225,26,7,0.910081
Ligue_1 2024_177_282_2024-11-10 16:00:00,2024-11-10 16:00:00,False,177,Reims,w,282,Le Havre,2.69952,3,3,249,20,5,2.2613,w,2.69952,1.51035,0,0,232,27,3,1.51035
Ligue_1 2024_177_178_2024-11-23 20:00:00,2024-11-23 20:00:00,True,177,Reims,d,178,Lyon,1.17295,1,1,322,19,5,0.8046,d,1.17295,1.92683,1,1,188,21,13,1.92683
Ligue_1 2024_177_210_2024-11-29 19:45:00,2024-11-29 19:45:00,True,177,Reims,l,210,Lens,0.589301,0,0,262,27,2,0.6387,l,0.589301,1.40788,2,2,256,23,4,1.40788
Ligue_1 2024_177_225_2024-12-08 16:00:00,2024-12-08 16:00:00,False,177,Reims,d,225,Strasbourg,1.28455,0,0,277,28,8,1.5007000000000001,d,1.28455,1.0949,0,0,304,29,6,1.0949
Ligue_1 2024_171_177_2024-12-14 20:00:00,2024-12-14 20:00:00,True,177,Reims,d,171,Monaco,1.52074,0,0,339,30,4,1.5415999999999999,d,1.52074,1.3291,0,0,177,40,12,1.3291
Ligue_1 2024_175_177_2025-01-04 16:00:00,2025-01-04 16:00:00,False,177,Reims,l,175,Saint-Etienne,1.27612,1,1,350,24,11,0.3128,l,1.27612,3.18639,3,3,230,29,10,3.18639
Ligue_1 2024_170_177_2025-01-11 18:00:00,2025-01-11 18:00:00,True,177,Reims,l,170,Nice,0.950928,2,2,283,23,1,0.18919999999999998,l,0.950928,3.22004,4,4,330,16,7,2.45995
Ligue_1 2024_177_282_2025-01-19 16:15:00,2025-01-19 16:15:00,True,177,Reims,d,282,Le Havre,1.49091,1,1,237,22,5,1.5058,d,1.49091,1.29453,1,1,246,15,1,1.29453
Ligue_1 2024_161_177_2025-01-25 20:05:00,2025-01-25 20:05:00,False,177,Reims,d,161,Paris Saint Germain,0.613384,1,1,401,22,4,0.5055000000000001,d,0.613384,1.79628,1,1,111,22,13,1.79628
Ligue_1 2024_168_177_2025-02-02 16:15:00,2025-02-02 16:15:00,True,177,Reims,l,168,Nantes,0.960868,1,1,231,18,9,0.9878,l,0.960868,1.41652,2,2,248,15,6,1.41652
Ligue_1 2024_177_178_2025-02-09 14:00:00,2025-02-09 14:00:00,False,177,Reims,l,178,Lyon,0.307882,0,0,327,22,7,0.0295,l,0.307882,3.24979,4,4,163,25,10,3.24979
Ligue_1 2024_167_177_2025-02-16 16:15:00,2025-02-16 16:15:00,True,177,Reims,l,167,Angers,2.06733,0,0,131,24,8,1.0866,l,1.30724,2.43148,1,1,318,12,8,2.43148
Ligue_1 2024_163_177_2025-02-21 19:45:00,2025-02-21 19:45:00,False,177,Reims,l,163,Rennes,0.160269,0,0,214,12,4,0.048100000000000004,l,0.160269,3.0636,1,1,213,28,14,2.30351
Ligue_1 2024_171_177_2025-02-28 19:45:00,2025-02-28 19:45:00,False,177,Reims,l,171,Monaco,0.722972,0,0,260,9,3,0.053500000000000006,l,0.722972,4.01066,3,3,244,28,22,4.01066
Ligue_1 2024_177_275_2025-03-09 16:15:00,2025-03-09 16:15:00,True,177,Reims,l,275,Auxerre,1.83707,0,0,183,26,1,1.3303,l,1.83707,1.87605,2,2,228,20,7,1.87605
Ligue_1 2024_177_241_2025-03-16 16:15:00,2025-03-16 16:15:00,False,177,Reims,d,241,Brest,0.985266,0,0,363,16,2,1.9435,d,0.985266,0.33799,0,0,143,25,2,0.33799
Ligue_1 2024_164_177_2025-03-29 16:00:00,2025-03-29 16:00:00,True,177,Reims,w,164,Marseille,1.05547,3,3,249,9,2,1.335,w,1.05547,1.07885,1,1,85,24,14,1.07885
Ligue_1 2024_177_225_2025-04-06 15:15:00,2025-04-06 15:15:00,True,177,Reims,l,225,Strasbourg,0.891063,0,0,273,27,4,0.24230000000000002,l,0.891063,2.80314,1,1,278,19,7,2.80314
Ligue_1 2024_177_210_2025-04-11 18:45:00,2025-04-11 18:45:00,False,177,Reims,w,210,Lens,1.44859,2,2,258,16,2,0.5840000000000001,w,1.44859,2.71917,0,0,170,26,17,2.71917
Ligue_1 2024_174_177_2025-04-20 15:15:00,2025-04-20 15:15:00,True,177,Reims,w,174,Toulouse,0.659517,1,1,210,15,4,0.8069,w,0.659517,1.32734,0,0,364,22,14,1.32734
Ligue_1 2024_166_177_2025-04-27 15:15:00,2025-04-27 15:15:00,False,177,Reims,d,166,Montpellier,1.03714,0,0,330,23,6,1.4258,d,1.03714,0.949696,0,0,317,27,5,0.949696
Ligue_1 2024_170_177_2025-05-02 18:45:00,2025-05-02 18:45:00,False,177,Reims,l,170,Nice,0.876237,0,0,284,30,5,1.037,l,0.876237,1.2118,1,1,232,33,5,1.2118
Ligue_1 2024_175_177_2025-05-10 19:00:00,2025-05-10 19:00:00,True,177,Reims,l,175,Saint-Etienne,1.12267,0,0,300,31,5,1.6709999999999998,l,1.12267,0.71062,2,2,226,25,8,0.71062
Ligue_1 2024_160_177_2025-05-17 19:00:00,2025-05-17 19:00:00,False,177,Reims,l,160,Lille,0.0983246,1,1,252,8,0,0.0685,l,0.0983246,2.31624,2,2,82,23,9,1.55615
