match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2025_166_225_2024-08-18 15:00:00,2024-08-18 15:00:00,True,166,Montpellier,d,225,Strasbourg,1.44704,1,1,293,30,3,1.6662000000000001,d,0.686941,1.10476,1,1,176,24,3,1.10476
Ligue_1 2025_161_166_2024-08-23 18:45:00,2024-08-23 18:45:00,False,166,Montpellier,l,161,Paris Saint Germain,0.772997,0,0,413,20,0,0.0298,l,0.772997,4.93703,6,6,231,32,12,4.93703
Ligue_1 2025_166_168_2024-08-31 17:00:00,2024-08-31 17:00:00,True,166,Montpellier,l,168,Nantes,0.745975,1,1,143,19,2,0.5501,l,0.745975,1.69437,3,3,323,15,6,0.934273
Ligue_1 2025_163_166_2024-09-15 13:00:00,2024-09-15 13:00:00,False,166,Montpellier,l,163,Rennes,0.310262,0,0,257,23,0,0.4361,l,0.310262,1.26867,3,3,255,18,11,1.26867
Ligue_1 2025_166_275_2024-09-22 15:00:00,2024-09-22 15:00:00,True,166,Montpellier,w,275,Auxerre,1.78396,3,3,201,22,7,1.6453,w,1.78396,1.42586,2,2,229,31,5,1.42586
Ligue_1 2025_166_171_2024-09-28 19:00:00,2024-09-28 19:00:00,False,166,Montpellier,l,171,Monaco,0.768868,1,1,303,29,4,0.138,l,0.768868,3.45707,2,2,131,38,21,3.45707
Ligue_1 2025_166_177_2024-10-06 15:00:00,2024-10-06 15:00:00,False,166,Montpellier,l,177,Reims,0.874094,2,2,254,21,7,0.0856,l,0.874094,3.71514,4,4,284,24,10,2.95504
Ligue_1 2025_164_166_2024-10-20 18:45:00,2024-10-20 18:45:00,True,166,Montpellier,l,164,Marseille,1.75684,0,0,360,29,1,0.3136,l,1.75684,3.88109,5,5,181,32,11,3.88109
Ligue_1 2025_166_174_2024-10-27 16:00:00,2024-10-27 16:00:00,True,166,Montpellier,l,174,Toulouse,0.241419,0,0,315,24,1,0.07769999999999999,l,0.241419,2.88708,3,3,298,31,13,2.88708
Ligue_1 2025_166_282_2024-11-03 16:00:00,2024-11-03 16:00:00,False,166,Montpellier,l,282,Le Havre,0.722691,0,0,231,15,3,0.5044,l,0.722691,1.7998,1,1,269,23,5,1.03971
Ligue_1 2025_166_241_2024-11-10 16:00:00,2024-11-10 16:00:00,True,166,Montpellier,w,241,Brest,3.03758,3,3,315,21,4,2.2052,w,1.51739,1.88669,1,1,117,21,3,1.88669
Ligue_1 2025_166_175_2024-11-23 18:00:00,2024-11-23 18:00:00,False,166,Montpellier,l,175,Saint-Etienne,0.862794,0,0,142,26,8,0.9852,l,0.862794,1.27297,1,1,363,21,4,1.27297
Ligue_1 2025_160_166_2024-12-01 14:00:00,2024-12-01 14:00:00,True,166,Montpellier,d,160,Lille,1.28241,2,2,230,17,1,0.7125999999999999,d,1.28241,2.06485,2,2,183,40,7,0.54466
Ligue_1 2025_166_210_2024-12-08 14:00:00,2024-12-08 14:00:00,False,166,Montpellier,l,210,Lens,1.51819,0,0,257,20,4,1.792,l,1.51819,1.10272,2,2,271,25,13,1.10272
Ligue_1 2025_166_170_2024-12-15 14:00:00,2024-12-15 14:00:00,True,166,Montpellier,d,170,Nice,2.45121,2,2,218,21,8,2.0161,d,2.45121,1.55192,2,2,238,23,4,1.55192
