match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2014_101_105_2014-08-31 19:45:00,2014-08-31 19:45:00,True,101,Genoa,l,105,Napoli,0.520545,1,1,307,25,3,0.4185,l,0.520545,1.79022,2,2,214,22,6,1.79022
Serie_A 2014_101_110_2014-09-14 14:00:00,2014-09-14 14:00:00,False,101,Genoa,d,110,Fiorentina,0.230085,0,0,308,22,2,0.1834,d,0.230085,2.09923,0,0,146,27,8,2.09923
Serie_A 2014_101_96_2014-09-21 14:00:00,2014-09-21 14:00:00,True,101,Genoa,w,96,Lazio,1.18602,1,1,240,19,2,0.8254,w,1.18602,1.97129,0,0,167,40,8,1.97129
Serie_A 2014_101_94_2014-09-24 19:45:00,2014-09-24 19:45:00,False,101,Genoa,d,94,Verona,1.6167,2,2,219,24,5,1.1985999999999999,d,1.6167,1.82598,2,2,182,22,8,1.82598
Serie_A 2014_101_102_2014-09-28 19:45:00,2014-09-28 19:45:00,True,101,Genoa,l,102,Sampdoria,0.203654,0,0,181,26,4,1.0984,l,0.203654,0.252545,1,1,132,39,1,0.252545
Serie_A 2014_101_204_2014-10-05 14:00:00,2014-10-05 14:00:00,False,101,Genoa,w,204,Parma,1.77324,2,2,239,17,5,1.8239999999999998,w,1.77324,1.20463,1,1,212,30,3,1.20463
Serie_A 2014_101_108_2014-10-20 19:45:00,2014-10-20 19:45:00,True,101,Genoa,d,108,Empoli,0.637598,1,1,266,32,2,0.5041,d,0.637598,1.57434,1,1,205,23,6,1.57434
Serie_A 2014_101_109_2014-10-26 14:00:00,2014-10-26 14:00:00,False,101,Genoa,w,109,Chievo,2.38033,2,2,133,33,9,2.3103000000000002,w,1.61903,1.20366,1,1,281,29,6,1.20366
Serie_A 2014_101_98_2014-10-29 19:45:00,2014-10-29 19:45:00,True,101,Genoa,w,98,Juventus,1.05735,1,1,188,25,4,1.288,w,1.05735,1.1507,0,0,153,29,8,1.1507
Serie_A 2014_101_99_2014-11-02 14:00:00,2014-11-02 14:00:00,False,101,Genoa,w,99,Udinese,1.90549,4,4,240,20,8,1.9925,w,1.90549,1.13344,2,2,194,23,7,1.13344
Serie_A 2014_101_116_2014-11-09 11:30:00,2014-11-09 11:30:00,False,101,Genoa,d,116,Cagliari,0.345972,1,1,168,31,5,0.0517,d,0.345972,2.57992,1,1,206,28,7,1.69379
Serie_A 2014_100_101_2014-11-24 19:45:00,2014-11-24 19:45:00,True,101,Genoa,d,100,Palermo,1.51548,1,1,235,28,12,1.3009,d,1.51548,1.58439,1,1,273,24,0,1.58439
Serie_A 2014_101_203_2014-11-30 14:00:00,2014-11-30 14:00:00,False,101,Genoa,w,203,Cesena,2.71452,3,3,179,25,4,2.6509000000000005,w,1.95322,1.06464,0,0,235,31,4,0.303342
Serie_A 2014_101_111_2014-12-07 14:00:00,2014-12-07 14:00:00,True,101,Genoa,w,111,AC Milan,0.900312,1,1,229,25,8,0.7538,w,0.900312,1.74981,0,0,186,19,5,1.74981
Serie_A 2014_101_95_2014-12-14 14:00:00,2014-12-14 14:00:00,True,101,Genoa,l,95,Roma,0.293159,0,0,361,20,2,0.0363,l,0.293159,3.49576,1,1,156,35,11,2.73447
Serie_A 2014_101_113_2014-12-21 14:00:00,2014-12-21 14:00:00,False,101,Genoa,l,113,Torino,0.584865,1,1,169,33,6,0.3598,l,0.584865,1.82211,2,2,248,27,3,1.82211
Serie_A 2014_101_107_2015-01-06 14:00:00,2015-01-06 14:00:00,True,101,Genoa,d,107,Atalanta,2.62876,2,2,120,14,12,2.6465,d,1.86746,0.952379,2,2,207,22,2,0.952379
Serie_A 2014_101_106_2015-01-11 11:30:00,2015-01-11 11:30:00,False,101,Genoa,l,106,Inter,1.6443,1,1,379,29,2,0.7924000000000001,l,1.6443,2.42963,3,3,217,34,6,2.42963
Serie_A 2014_101_104_2015-01-18 14:00:00,2015-01-18 14:00:00,True,101,Genoa,d,104,Sassuolo,3.14029,3,3,152,26,8,1.6274000000000002,d,2.37899,2.78657,3,3,202,42,7,2.02527
Serie_A 2014_101_105_2015-01-26 20:00:00,2015-01-26 20:00:00,False,101,Genoa,l,105,Napoli,0.574542,1,1,246,23,5,0.1518,l,0.574542,2.93897,2,2,252,25,9,2.17768
Serie_A 2014_101_110_2015-01-31 17:00:00,2015-01-31 17:00:00,True,101,Genoa,d,110,Fiorentina,2.29008,1,1,234,43,5,2.4563,d,2.29008,0.766738,1,1,202,38,5,0.766738
Serie_A 2014_101_96_2015-02-09 19:45:00,2015-02-09 19:45:00,False,101,Genoa,w,96,Lazio,1.56121,1,1,261,28,10,2.1168,w,0.799915,0.719656,0,0,214,39,4,0.719656
Serie_A 2014_101_94_2015-02-15 14:00:00,2015-02-15 14:00:00,True,101,Genoa,w,94,Verona,1.44395,5,5,131,36,2,1.6684999999999999,w,1.44395,1.07214,2,2,183,40,6,1.07214
Serie_A 2014_101_102_2015-02-24 17:30:00,2015-02-24 17:30:00,False,101,Genoa,d,102,Sampdoria,2.43586,1,1,119,31,4,2.0751,d,2.43586,1.52247,1,1,178,26,1,1.52247
Serie_A 2014_101_108_2015-03-08 14:00:00,2015-03-08 14:00:00,False,101,Genoa,d,108,Empoli,0.915374,1,1,244,29,10,0.9697,d,0.915374,1.17737,1,1,163,24,8,1.17737
Serie_A 2014_101_109_2015-03-15 14:00:00,2015-03-15 14:00:00,True,101,Genoa,l,109,Chievo,1.10083,0,0,126,27,10,1.1955,l,1.10083,1.28332,2,2,231,30,3,1.28332
Serie_A 2014_101_98_2015-03-22 14:00:00,2015-03-22 14:00:00,False,101,Genoa,l,98,Juventus,0.256135,0,0,301,38,1,0.255,l,0.256135,1.63976,1,1,196,27,5,0.878466
Serie_A 2014_101_99_2015-04-04 14:00:00,2015-04-04 14:00:00,True,101,Genoa,d,99,Udinese,1.26793,1,1,160,38,7,1.0619,d,1.26793,1.64498,1,1,235,27,5,1.64498
Serie_A 2014_101_116_2015-04-11 17:00:00,2015-04-11 17:00:00,True,101,Genoa,w,116,Cagliari,2.5631,2,2,199,44,10,1.9928,w,2.5631,1.61385,0,0,271,41,9,1.61385
Serie_A 2014_101_204_2015-04-15 17:30:00,2015-04-15 17:30:00,True,101,Genoa,w,204,Parma,2.78368,2,2,215,34,6,2.7141,w,2.78368,0.595376,0,0,326,38,6,0.595376
Serie_A 2014_100_101_2015-04-19 14:00:00,2015-04-19 14:00:00,False,101,Genoa,l,100,Palermo,0.907374,1,1,134,30,15,0.6485000000000001,l,0.907374,1.86031,2,2,194,41,4,1.86031
Serie_A 2014_101_203_2015-04-26 14:00:00,2015-04-26 14:00:00,True,101,Genoa,w,203,Cesena,3.40707,3,3,149,21,8,2.636,w,2.64577,1.24615,1,1,163,29,5,1.24615
Serie_A 2014_101_111_2015-04-29 19:45:00,2015-04-29 19:45:00,False,101,Genoa,w,111,AC Milan,3.01431,3,3,307,26,9,2.6689,w,2.25301,0.96641,1,1,163,22,7,0.96641
Serie_A 2014_101_95_2015-05-03 11:30:00,2015-05-03 11:30:00,False,101,Genoa,l,95,Roma,0.442319,0,0,195,28,11,0.8847,l,0.442319,0.872024,2,2,228,28,3,0.872024
Serie_A 2014_101_113_2015-05-11 19:45:00,2015-05-11 19:45:00,True,101,Genoa,w,113,Torino,1.55138,5,5,235,28,6,2.2337,w,1.55138,0.535982,1,1,227,22,3,0.535982
Serie_A 2014_101_107_2015-05-17 14:00:00,2015-05-17 14:00:00,False,101,Genoa,w,107,Atalanta,1.23801,4,4,190,25,7,0.5149,w,1.23801,2.54956,1,1,182,18,6,1.78826
Serie_A 2014_101_106_2015-05-23 19:45:00,2015-05-23 19:45:00,True,101,Genoa,w,106,Inter,2.08755,3,3,178,25,8,1.4181,w,2.08755,2.04042,2,2,130,19,4,2.04042
Serie_A 2014_101_104_2015-05-31 19:45:00,2015-05-31 19:45:00,False,101,Genoa,l,104,Sassuolo,2.20223,1,1,146,25,13,1.0283,l,2.20223,2.65496,3,3,237,28,0,1.89366
