match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2014_111_96_2014-08-31 17:00:00,2014-08-31 17:00:00,False,96,Lazio,l,111,AC Milan,2.03815,1,1,240,35,15,1.3898,l,1.27685,2.01129,3,3,272,23,5,1.24999
Serie_A 2014_203_96_2014-09-14 14:00:00,2014-09-14 14:00:00,True,96,Lazio,w,203,Cesena,1.55271,3,3,238,46,7,2.5260000000000002,w,1.55271,0.154651,0,0,277,12,0,0.154651
Serie_A 2014_101_96_2014-09-21 14:00:00,2014-09-21 14:00:00,False,96,Lazio,l,101,Genoa,1.97129,0,0,167,40,8,1.936,l,1.97129,1.18602,1,1,240,19,2,1.18602
Serie_A 2014_96_99_2014-09-25 19:45:00,2014-09-25 19:45:00,True,96,Lazio,l,99,Udinese,0.940274,0,0,87,31,3,1.1964000000000001,l,0.940274,1.062,1,1,275,8,1,1.062
Serie_A 2014_100_96_2014-09-29 20:00:00,2014-09-29 20:00:00,False,96,Lazio,w,100,Palermo,2.43959,4,4,207,29,2,2.0199,w,2.43959,1.5751,0,0,245,29,4,1.5751
Serie_A 2014_104_96_2014-10-05 14:00:00,2014-10-05 14:00:00,True,96,Lazio,w,104,Sassuolo,1.60341,3,3,182,26,7,1.2899,w,1.60341,1.67343,2,2,225,25,6,0.912128
Serie_A 2014_110_96_2014-10-19 11:30:00,2014-10-19 11:30:00,False,96,Lazio,w,110,Fiorentina,1.86,2,2,281,21,4,2.5032,w,1.86,0.570608,0,0,194,25,4,0.570608
Serie_A 2014_113_96_2014-10-26 17:00:00,2014-10-26 17:00:00,True,96,Lazio,w,113,Torino,1.17164,2,2,300,44,9,2.0414,w,1.17164,0.495408,1,1,277,23,4,0.495408
Serie_A 2014_94_96_2014-10-30 19:45:00,2014-10-30 19:45:00,False,96,Lazio,d,94,Verona,0.888443,1,1,225,30,4,0.6073999999999999,d,0.888443,1.74791,1,1,269,24,1,0.98661
Serie_A 2014_116_96_2014-11-03 20:00:00,2014-11-03 20:00:00,True,96,Lazio,w,116,Cagliari,2.21147,4,4,247,50,7,2.0536,w,2.21147,1.37643,2,2,217,27,5,1.37643
Serie_A 2014_108_96_2014-11-09 14:00:00,2014-11-09 14:00:00,False,96,Lazio,l,108,Empoli,0.370879,1,1,189,25,7,1.1351,l,0.370879,0.482375,2,2,201,34,0,0.482375
Serie_A 2014_96_98_2014-11-22 19:45:00,2014-11-22 19:45:00,True,96,Lazio,l,98,Juventus,0.592174,0,0,344,36,2,0.7482,l,0.592174,1.28853,3,3,238,26,14,1.28853
Serie_A 2014_109_96_2014-11-29 19:45:00,2014-11-29 19:45:00,False,96,Lazio,d,109,Chievo,0.559908,0,0,114,18,3,1.5018000000000002,d,0.559908,0.340276,0,0,253,28,5,0.340276
Serie_A 2014_204_96_2014-12-07 14:00:00,2014-12-07 14:00:00,False,96,Lazio,w,204,Parma,1.77716,2,2,192,35,4,1.732,w,1.77716,1.3355,1,1,236,30,5,1.3355
