match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2014_203_204_2014-08-31 19:45:00,2014-08-31 19:45:00,False,204,Parma,l,203,Cesena,0.438551,0,0,212,23,9,0.6858,l,0.438551,1.09417,1,1,305,12,3,1.09417
Serie_A 2014_111_204_2014-09-14 19:45:00,2014-09-14 19:45:00,True,204,Parma,l,111,AC Milan,1.43019,4,4,300,26,8,0.1683,l,1.43019,3.77794,5,5,248,17,2,3.01664
Serie_A 2014_109_204_2014-09-21 11:30:00,2014-09-21 11:30:00,False,204,Parma,w,109,Chievo,0.934229,3,3,142,28,5,0.8922000000000001,w,0.934229,1.34921,2,2,258,21,3,1.34921
Serie_A 2014_204_95_2014-09-24 19:45:00,2014-09-24 19:45:00,True,204,Parma,l,95,Roma,0.334683,1,1,401,27,4,0.8099000000000001,l,0.334683,0.82541,2,2,174,30,13,0.82541
Serie_A 2014_204_99_2014-09-29 18:00:00,2014-09-29 18:00:00,False,204,Parma,l,99,Udinese,1.86017,2,2,166,23,8,2.0327,l,1.09887,1.05537,4,4,284,12,3,1.05537
Serie_A 2014_101_204_2014-10-05 14:00:00,2014-10-05 14:00:00,True,204,Parma,l,101,Genoa,1.20463,1,1,212,30,3,0.8862000000000001,l,1.20463,1.77324,2,2,239,17,5,1.77324
Serie_A 2014_107_204_2014-10-19 14:00:00,2014-10-19 14:00:00,False,204,Parma,l,107,Atalanta,0.306658,0,0,244,17,5,0.45089999999999997,l,0.306658,1.37374,1,1,184,18,4,1.37374
Serie_A 2014_104_204_2014-10-25 17:00:00,2014-10-25 17:00:00,True,204,Parma,l,104,Sassuolo,0.763954,1,1,203,22,4,0.6349,l,0.763954,1.64283,3,3,202,17,4,1.64283
Serie_A 2014_113_204_2014-10-29 19:45:00,2014-10-29 19:45:00,False,204,Parma,l,113,Torino,0.694268,0,0,294,28,6,0.7958999999999999,l,0.694268,1.33422,1,1,252,16,7,1.33422
Serie_A 2014_106_204_2014-11-01 19:45:00,2014-11-01 19:45:00,True,204,Parma,w,106,Inter,1.67779,2,2,317,9,5,2.4138,w,1.67779,0.525,0,0,106,27,13,0.525
Serie_A 2014_204_98_2014-11-09 14:00:00,2014-11-09 14:00:00,False,204,Parma,l,98,Juventus,0.137701,0,0,447,15,3,0.1426,l,0.137701,2.12422,7,7,217,15,7,2.12422
Serie_A 2014_108_204_2014-11-23 14:00:00,2014-11-23 14:00:00,True,204,Parma,l,108,Empoli,0.807441,0,0,261,30,10,1.2472999999999999,l,0.807441,0.846637,2,2,262,28,5,0.846637
Serie_A 2014_100_204_2014-11-30 14:00:00,2014-11-30 14:00:00,False,204,Parma,l,100,Palermo,1.4149,1,1,168,16,8,1.3495,l,1.4149,1.43758,2,2,195,21,7,1.43758
