match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2014_106_113_2014-08-31 19:45:00,2014-08-31 19:45:00,True,113,Torino,d,106,Inter,1.09973,0,0,241,18,5,1.17,d,0.338427,1.31374,0,0,204,23,5,1.31374
Serie_A 2014_102_113_2014-09-14 11:30:00,2014-09-14 11:30:00,False,113,Torino,l,102,Sampdoria,0.389513,0,0,207,20,3,1.2117,l,0.389513,0.421195,2,2,300,28,3,0.421195
Serie_A 2014_113_94_2014-09-21 19:45:00,2014-09-21 19:45:00,True,113,Torino,l,94,Verona,2.62344,0,0,272,18,11,2.4071,l,1.72694,1.22043,1,1,236,18,2,1.22043
Serie_A 2014_113_116_2014-09-24 19:45:00,2014-09-24 19:45:00,False,113,Torino,w,116,Cagliari,1.296,2,2,248,15,5,1.8097,w,1.296,0.775745,1,1,268,35,8,0.775745
Serie_A 2014_110_113_2014-09-28 14:00:00,2014-09-28 14:00:00,True,113,Torino,d,110,Fiorentina,1.04433,1,1,239,11,5,1.0896,d,1.04433,1.37293,1,1,246,39,10,1.37293
Serie_A 2014_105_113_2014-10-05 19:45:00,2014-10-05 19:45:00,False,113,Torino,l,105,Napoli,0.414036,1,1,256,11,6,0.0638,l,0.414036,3.28365,2,2,267,27,6,3.28365
Serie_A 2014_113_99_2014-10-19 14:00:00,2014-10-19 14:00:00,True,113,Torino,w,99,Udinese,1.39322,1,1,261,22,7,1.7070999999999998,w,1.39322,0.920075,0,0,207,24,5,0.920075
Serie_A 2014_113_96_2014-10-26 17:00:00,2014-10-26 17:00:00,False,113,Torino,l,96,Lazio,0.495408,1,1,277,23,4,0.6596,l,0.495408,1.17164,2,2,300,44,9,1.17164
Serie_A 2014_113_204_2014-10-29 19:45:00,2014-10-29 19:45:00,True,113,Torino,w,204,Parma,1.33422,1,1,252,16,7,1.9149000000000003,w,1.33422,0.694268,0,0,294,28,6,0.694268
Serie_A 2014_107_113_2014-11-02 14:00:00,2014-11-02 14:00:00,True,113,Torino,d,107,Atalanta,1.39976,0,0,104,14,9,2.5211,d,1.39976,0.144278,0,0,222,14,4,0.144278
Serie_A 2014_113_95_2014-11-09 19:45:00,2014-11-09 19:45:00,False,113,Torino,l,95,Roma,0.502666,0,0,397,22,2,0.9455,l,0.502666,0.873544,3,3,275,25,8,0.873544
Serie_A 2014_104_113_2014-11-23 11:30:00,2014-11-23 11:30:00,True,113,Torino,l,104,Sassuolo,1.65966,0,0,244,18,3,1.6304,l,0.898365,1.3656,1,1,275,37,7,1.3656
Serie_A 2014_113_98_2014-11-30 17:00:00,2014-11-30 17:00:00,False,113,Torino,l,98,Juventus,1.0594,1,1,246,10,4,0.7777999999999999,l,1.0594,1.79946,2,2,211,34,6,1.03816
Serie_A 2014_100_113_2014-12-06 19:45:00,2014-12-06 19:45:00,True,113,Torino,d,100,Palermo,0.996123,2,2,181,11,7,1.9904000000000002,d,0.996123,0.265528,2,2,336,17,1,0.265528
Serie_A 2014_108_113_2014-12-15 18:00:00,2014-12-15 18:00:00,False,113,Torino,d,108,Empoli,0.446794,0,0,179,19,6,0.7976,d,0.446794,1.04851,0,0,214,29,5,1.04851
Serie_A 2014_101_113_2014-12-21 14:00:00,2014-12-21 14:00:00,True,113,Torino,w,101,Genoa,1.82211,2,2,248,27,3,2.4666999999999994,w,1.82211,0.584865,1,1,169,33,6,0.584865
Serie_A 2014_109_113_2015-01-06 14:00:00,2015-01-06 14:00:00,False,113,Torino,d,109,Chievo,0.240292,0,0,211,19,1,0.7183,d,0.240292,0.790719,0,0,275,38,4,0.790719
Serie_A 2014_111_113_2015-01-10 19:45:00,2015-01-10 19:45:00,True,113,Torino,d,111,AC Milan,2.8576,1,1,145,28,11,2.559,d,2.8576,1.03898,1,1,284,22,0,0.277679
Serie_A 2014_113_203_2015-01-18 14:00:00,2015-01-18 14:00:00,False,113,Torino,w,203,Cesena,1.53741,3,3,197,23,8,0.5602,w,1.53741,2.67702,2,2,200,34,7,1.15442
Serie_A 2014_106_113_2015-01-25 14:00:00,2015-01-25 14:00:00,False,113,Torino,w,106,Inter,1.07197,1,1,314,16,7,1.969,w,1.07197,0.47051,0,0,159,35,6,0.47051
Serie_A 2014_102_113_2015-02-01 14:00:00,2015-02-01 14:00:00,True,113,Torino,w,102,Sampdoria,3.50318,5,5,327,21,10,2.9151,w,2.74188,0.468908,1,1,182,42,5,0.468908
