match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2016_111_113_2016-08-21 20:00:00,2016-08-21 20:00:00,True,111,AC Milan,w,113,Torino,2.5953,3,3,167,19,6,2.0237,w,1.834,1.74508,2,2,202,32,12,0.983783
Serie_A 2016_105_111_2016-08-27 22:45:00,2016-08-27 22:45:00,False,111,AC Milan,l,105,Napoli,0.804413,2,2,357,19,3,0.1754,l,0.804413,2.78103,4,4,251,22,6,2.78103
Serie_A 2016_111_99_2016-09-11 17:00:00,2016-09-11 17:00:00,True,111,AC Milan,l,99,Udinese,0.959858,0,0,166,22,7,1.8048,l,0.959858,0.507771,1,1,287,16,2,0.507771
Serie_A 2016_102_111_2016-09-16 22:45:00,2016-09-16 22:45:00,False,111,AC Milan,w,102,Sampdoria,0.782456,1,1,243,22,5,1.5453,w,0.782456,0.594515,0,0,226,32,7,0.594515
Serie_A 2016_111_96_2016-09-20 22:45:00,2016-09-20 22:45:00,True,111,AC Milan,w,96,Lazio,2.62568,2,2,171,26,7,2.6406,w,1.86438,0.701969,0,0,214,36,6,0.701969
Serie_A 2016_110_111_2016-09-25 22:45:00,2016-09-25 22:45:00,False,111,AC Milan,d,110,Fiorentina,0.710461,0,0,321,19,5,0.6499,d,0.710461,1.54079,0,0,220,24,5,0.779487
Serie_A 2016_104_111_2016-10-02 20:00:00,2016-10-02 20:00:00,True,111,AC Milan,w,104,Sassuolo,1.41957,4,4,220,19,1,1.5678,w,0.658268,1.17991,3,3,251,19,2,1.17991
Serie_A 2016_109_111_2016-10-16 22:45:00,2016-10-16 22:45:00,False,111,AC Milan,w,109,Chievo,1.59791,3,3,203,20,1,2.5632,w,1.59791,0.253892,1,1,297,17,7,0.253892
Serie_A 2016_111_98_2016-10-22 22:45:00,2016-10-22 22:45:00,True,111,AC Milan,w,98,Juventus,0.254814,1,1,242,32,4,0.7975,w,0.254814,0.731154,0,0,155,31,5,0.731154
Serie_A 2016_101_111_2016-10-25 22:45:00,2016-10-25 22:45:00,False,111,AC Milan,l,101,Genoa,0.437331,0,0,238,23,5,0.8275,l,0.437331,0.918374,3,3,286,22,3,0.918374
