match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2017_109_99_2017-08-20 19:45:00,2017-08-20 19:45:00,False,109,Chievo,w,99,Udinese,0.422866,2,2,277,20,4,0.9943,w,0.422866,0.725552,1,1,246,20,4,0.725552
Serie_A 2017_109_96_2017-08-27 19:45:00,2017-08-27 19:45:00,True,109,Chievo,l,96,Lazio,0.772094,1,1,267,26,10,0.8189,l,0.772094,1.36642,2,2,262,19,7,1.36642
Serie_A 2017_109_98_2017-09-09 17:00:00,2017-09-09 17:00:00,False,109,Chievo,l,98,Juventus,0.910665,0,0,353,28,6,1.0692,l,0.910665,1.25158,3,3,206,25,7,1.25158
Serie_A 2017_107_109_2017-09-17 17:00:00,2017-09-17 17:00:00,True,109,Chievo,d,107,Atalanta,1.23045,1,1,398,26,3,1.0266,d,1.23045,1.61081,1,1,168,21,10,0.849513
Serie_A 2017_101_109_2017-09-20 19:45:00,2017-09-20 19:45:00,False,109,Chievo,d,101,Genoa,1.29546,1,1,267,13,6,1.9822000000000002,d,1.29546,0.566572,1,1,241,21,7,0.566572
Serie_A 2017_109_116_2017-09-24 14:00:00,2017-09-24 14:00:00,False,109,Chievo,w,116,Cagliari,1.41724,2,2,259,35,12,1.6793,w,1.41724,1.01627,0,0,165,29,7,1.01627
Serie_A 2017_109_110_2017-10-01 14:00:00,2017-10-01 14:00:00,True,109,Chievo,w,110,Fiorentina,1.14303,2,2,293,13,3,1.1521,w,1.14303,1.44549,1,1,208,19,6,1.44549
Serie_A 2017_104_109_2017-10-15 14:00:00,2017-10-15 14:00:00,False,109,Chievo,d,104,Sassuolo,0.511616,0,0,212,19,5,0.458,d,0.511616,1.69541,0,0,217,18,2,1.69541
Serie_A 2017_109_94_2017-10-22 19:30:00,2017-10-22 19:30:00,True,109,Chievo,w,94,Verona,2.90477,3,3,214,20,6,2.4308,w,2.14347,1.33058,2,2,304,9,6,0.569281
Serie_A 2017_109_111_2017-10-25 19:45:00,2017-10-25 19:45:00,True,109,Chievo,l,111,AC Milan,0.735034,1,1,346,11,3,0.7817000000000001,l,0.735034,1.43727,4,4,265,32,6,1.43727
Serie_A 2017_102_109_2017-10-29 14:00:00,2017-10-29 14:00:00,False,109,Chievo,l,102,Sampdoria,2.02467,1,1,230,16,8,1.395,l,2.02467,1.98109,4,4,232,23,13,1.98109
Serie_A 2017_105_109_2017-11-05 14:00:00,2017-11-05 14:00:00,True,109,Chievo,d,105,Napoli,0.646501,0,0,451,16,2,1.306,d,0.646501,0.707574,0,0,151,15,6,0.707574
Serie_A 2017_109_113_2017-11-19 14:00:00,2017-11-19 14:00:00,False,109,Chievo,d,113,Torino,1.38363,1,1,323,23,4,0.4255,d,1.38363,2.85934,1,1,202,18,7,2.08247
Serie_A 2017_109_221_2017-11-25 17:00:00,2017-11-25 17:00:00,True,109,Chievo,w,221,SPAL 2013,1.69642,2,2,191,34,5,2.0239,w,1.69642,0.857429,1,1,279,21,3,0.857429
Serie_A 2017_106_109_2017-12-03 14:00:00,2017-12-03 14:00:00,False,109,Chievo,l,106,Inter,0.459896,0,0,334,13,3,0.0608,l,0.459896,3.78874,5,5,201,28,16,3.78874
Serie_A 2017_109_95_2017-12-10 11:30:00,2017-12-10 11:30:00,True,109,Chievo,d,95,Roma,1.02062,0,0,189,26,5,0.42779999999999996,d,1.02062,2.50473,0,0,96,16,20,2.50473
Serie_A 2017_109_115_2017-12-17 14:00:00,2017-12-17 14:00:00,False,109,Chievo,l,115,Crotone,0.997525,0,0,173,24,6,0.4949,l,0.997525,2.22208,1,1,279,16,6,2.22208
Serie_A 2017_109_97_2017-12-22 17:00:00,2017-12-22 17:00:00,True,109,Chievo,l,97,Bologna,1.36692,2,2,281,26,6,1.3393000000000002,l,1.36692,1.37236,3,3,210,15,4,1.37236
Serie_A 2017_109_222_2017-12-30 14:00:00,2017-12-30 14:00:00,False,109,Chievo,l,222,Benevento,0.938785,0,0,166,31,9,1.2824,l,0.938785,0.992802,1,1,297,21,2,0.992802
Serie_A 2017_109_99_2018-01-05 17:00:00,2018-01-05 17:00:00,True,109,Chievo,d,99,Udinese,0.497552,1,1,269,19,5,1.3382,d,0.497552,0.433504,1,1,288,21,5,0.433504
Serie_A 2017_109_96_2018-01-21 14:00:00,2018-01-21 14:00:00,False,109,Chievo,l,96,Lazio,0.362077,1,1,349,26,4,0.6305000000000001,l,0.362077,1.16224,5,5,370,19,10,1.16224
Serie_A 2017_109_98_2018-01-28 14:00:00,2018-01-28 14:00:00,True,109,Chievo,l,98,Juventus,0.0518957,0,0,323,14,0,0.3218,l,0.0518957,1.14852,2,2,121,19,14,1.14852
Serie_A 2017_107_109_2018-02-04 14:00:00,2018-02-04 14:00:00,False,109,Chievo,l,107,Atalanta,0.200403,0,0,278,30,3,0.0821,l,0.200403,2.43411,1,1,164,24,9,2.43411
Serie_A 2017_101_109_2018-02-11 14:00:00,2018-02-11 14:00:00,True,109,Chievo,l,101,Genoa,0.278815,0,0,241,24,1,0.9155,l,0.278815,0.578237,1,1,284,24,8,0.578237
Serie_A 2017_109_116_2018-02-17 17:00:00,2018-02-17 17:00:00,True,109,Chievo,w,116,Cagliari,0.524853,2,2,249,17,4,1.1601,w,0.524853,0.593202,1,1,224,23,3,0.593202
Serie_A 2017_109_110_2018-02-25 14:00:00,2018-02-25 14:00:00,False,109,Chievo,l,110,Fiorentina,0.275085,0,0,181,27,6,0.5469999999999999,l,0.275085,1.12385,1,1,238,38,7,1.12385
Serie_A 2017_109_94_2018-03-10 19:45:00,2018-03-10 19:45:00,False,109,Chievo,l,94,Verona,0.882338,0,0,127,29,6,2.0561,l,0.882338,0.178457,1,1,247,18,0,0.178457
Serie_A 2017_109_111_2018-03-18 14:00:00,2018-03-18 14:00:00,False,109,Chievo,l,111,AC Milan,0.899718,2,2,402,19,4,0.129,l,0.899718,3.36508,3,3,145,21,4,2.6039
Serie_A 2017_102_109_2018-03-31 14:00:00,2018-03-31 14:00:00,True,109,Chievo,w,102,Sampdoria,0.278412,2,2,323,20,6,0.155,w,0.278412,2.07501,1,1,198,17,8,1.31371
Serie_A 2017_104_109_2018-04-04 17:30:00,2018-04-04 17:30:00,True,109,Chievo,d,104,Sassuolo,0.322371,1,1,180,27,3,0.8937,d,0.322371,0.678786,1,1,321,16,4,0.678786
Serie_A 2017_105_109_2018-04-08 13:00:00,2018-04-08 13:00:00,False,109,Chievo,l,105,Napoli,0.210644,1,1,352,11,2,0.022699999999999998,l,0.210644,3.83361,2,2,124,21,25,3.06134
Serie_A 2017_109_113_2018-04-14 16:00:00,2018-04-14 16:00:00,True,109,Chievo,d,113,Torino,0.55779,0,0,347,23,1,1.1428,d,0.55779,0.720502,0,0,196,15,5,0.720502
Serie_A 2017_109_221_2018-04-18 18:45:00,2018-04-18 18:45:00,False,109,Chievo,d,221,SPAL 2013,0.59648,0,0,254,26,10,1.6177000000000001,d,0.59648,0.32401,0,0,134,16,1,0.32401
Serie_A 2017_106_109_2018-04-22 13:00:00,2018-04-22 13:00:00,True,109,Chievo,l,106,Inter,1.37033,1,1,405,32,4,1.0237,l,1.37033,1.76802,2,2,202,16,12,1.76802
Serie_A 2017_109_95_2018-04-28 16:00:00,2018-04-28 16:00:00,False,109,Chievo,l,95,Roma,1.43295,1,1,311,18,7,1.1935,l,0.671649,1.67454,4,4,227,14,4,1.67454
Serie_A 2017_109_115_2018-05-06 14:00:00,2018-05-06 14:00:00,True,109,Chievo,w,115,Crotone,0.831918,2,2,271,23,8,1.0961,w,0.831918,1.06513,1,1,136,27,3,1.06513
Serie_A 2017_109_97_2018-05-13 14:00:00,2018-05-13 14:00:00,False,109,Chievo,w,97,Bologna,2.14622,2,2,239,18,7,1.7156,w,2.14622,1.70476,1,1,166,23,15,0.943463
Serie_A 2017_109_222_2018-05-20 14:00:00,2018-05-20 14:00:00,True,109,Chievo,w,222,Benevento,0.744593,1,1,454,31,1,1.4215,w,0.744593,0.663029,0,0,96,20,4,0.663029
