match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2017_107_95_2017-08-20 17:00:00,2017-08-20 17:00:00,False,95,Roma,w,107,Atalanta,0.362356,1,1,241,26,5,0.3911,w,0.362356,1.48324,0,0,169,29,4,1.48324
Serie_A 2017_106_95_2017-08-26 19:45:00,2017-08-26 19:45:00,True,95,Roma,l,106,Inter,1.34009,1,1,274,22,10,0.5874,l,1.34009,2.45224,3,3,266,19,10,2.45224
Serie_A 2017_94_95_2017-09-16 19:45:00,2017-09-16 19:45:00,True,95,Roma,w,94,Verona,3.67224,3,3,218,19,15,2.9469999999999996,w,3.67224,0.197492,0,0,358,14,2,0.197492
Serie_A 2017_222_95_2017-09-20 17:00:00,2017-09-20 17:00:00,False,95,Roma,w,222,Benevento,2.23834,4,4,219,36,10,2.4952,w,2.23834,0.717607,0,0,350,18,5,0.717607
Serie_A 2017_95_99_2017-09-23 14:00:00,2017-09-23 14:00:00,True,95,Roma,w,99,Udinese,2.98551,3,3,213,19,5,2.4606,w,2.22421,1.28539,1,1,332,13,4,1.28539
Serie_A 2017_111_95_2017-10-01 17:00:00,2017-10-01 17:00:00,False,95,Roma,w,111,AC Milan,1.18948,2,2,211,14,6,1.7030999999999998,w,1.18948,0.781639,0,0,320,24,6,0.781639
Serie_A 2017_105_95_2017-10-14 19:45:00,2017-10-14 19:45:00,True,95,Roma,l,105,Napoli,0.331133,0,0,438,28,3,0.44989999999999997,l,0.331133,1.49475,1,1,348,22,6,1.49475
Serie_A 2017_113_95_2017-10-22 14:00:00,2017-10-22 14:00:00,False,95,Roma,w,113,Torino,0.864033,1,1,143,30,3,1.6653000000000002,w,0.864033,0.490918,0,0,269,43,2,0.490918
Serie_A 2017_115_95_2017-10-25 19:45:00,2017-10-25 19:45:00,True,95,Roma,w,115,Crotone,2.40967,1,1,136,20,9,2.7059,w,1.64837,0.435674,0,0,426,13,2,0.435674
Serie_A 2017_95_97_2017-10-28 19:45:00,2017-10-28 19:45:00,True,95,Roma,w,97,Bologna,0.889903,1,1,294,21,9,1.6047000000000002,w,0.889903,0.568815,0,0,253,24,7,0.568815
Serie_A 2017_110_95_2017-11-05 14:00:00,2017-11-05 14:00:00,False,95,Roma,w,110,Fiorentina,2.30318,4,4,218,23,5,2.1445,w,2.30318,1.19222,2,2,196,30,5,1.19222
Serie_A 2017_95_96_2017-11-18 17:00:00,2017-11-18 17:00:00,True,95,Roma,w,96,Lazio,1.56699,2,2,213,22,3,1.6723,w,0.805695,1.18881,1,1,209,22,7,0.427509
Serie_A 2017_101_95_2017-11-26 14:00:00,2017-11-26 14:00:00,False,95,Roma,d,101,Genoa,1.28891,1,1,133,23,4,1.4733,d,1.28891,1.1212,1,1,319,15,3,0.3599
