match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2018_108_116_2018-08-19 21:30:00,2018-08-19 21:30:00,True,108,Empoli,w,116,Cagliari,1.45907,2,2,220,21,7,2.1391999999999998,w,1.45907,0.574056,0,0,202,33,6,0.574056
Serie_A 2018_101_108_2018-08-26 21:30:00,2018-08-26 21:30:00,False,108,Empoli,l,101,Genoa,1.25776,1,1,112,23,12,1.6441999999999999,l,1.25776,0.950879,2,2,296,19,5,0.950879
Serie_A 2018_108_109_2018-09-02 18:30:00,2018-09-02 18:30:00,False,108,Empoli,d,109,Chievo,1.35877,0,0,189,18,5,1.4302,d,1.35877,1.26902,0,0,395,16,4,1.26902
Serie_A 2018_108_96_2018-09-16 16:00:00,2018-09-16 16:00:00,True,108,Empoli,l,96,Lazio,1.4909,0,0,228,17,5,0.5907,l,1.4909,2.74301,1,1,320,16,9,2.74301
Serie_A 2018_104_108_2018-09-21 18:30:00,2018-09-21 18:30:00,False,108,Empoli,l,104,Sassuolo,1.03797,1,1,382,18,10,0.6022,l,1.03797,2.09666,3,3,196,22,9,2.09666
Serie_A 2018_108_111_2018-09-27 19:00:00,2018-09-27 19:00:00,True,108,Empoli,d,111,AC Milan,1.1773,1,1,264,27,4,1.1255000000000002,d,0.415997,1.52902,1,1,261,25,7,1.52902
Serie_A 2018_108_230_2018-09-30 16:00:00,2018-09-30 16:00:00,False,108,Empoli,l,230,Parma Calcio 1913,1.44541,0,0,149,30,14,1.9975,l,1.44541,0.645086,1,1,334,17,4,0.645086
Serie_A 2018_108_95_2018-10-06 18:30:00,2018-10-06 18:30:00,True,108,Empoli,l,95,Roma,1.99899,0,0,313,20,6,2.2547,l,1.23773,0.863839,2,2,241,15,7,0.863839
Serie_A 2018_108_112_2018-10-21 10:30:00,2018-10-21 10:30:00,False,108,Empoli,d,112,Frosinone,1.19042,3,3,167,32,12,1.4201000000000001,d,1.19042,1.04742,3,3,206,26,3,0.286119
Serie_A 2018_108_98_2018-10-27 16:00:00,2018-10-27 16:00:00,True,108,Empoli,l,98,Juventus,0.272576,1,1,253,21,7,0.30700000000000005,l,0.272576,1.48572,2,2,231,37,6,0.724419
Serie_A 2018_105_108_2018-11-02 19:30:00,2018-11-02 19:30:00,False,108,Empoli,l,105,Napoli,0.76592,1,1,342,27,9,0.3552,l,0.76592,2.45171,5,5,395,26,8,2.45171
Serie_A 2018_108_99_2018-11-11 14:00:00,2018-11-11 14:00:00,True,108,Empoli,w,99,Udinese,1.54705,2,2,255,17,9,0.30369999999999997,w,1.54705,3.75447,1,1,124,18,11,2.99321
Serie_A 2018_107_108_2018-11-25 14:00:00,2018-11-25 14:00:00,True,108,Empoli,w,107,Atalanta,2.43156,3,3,307,18,5,1.6732,w,1.6703,2.02122,2,2,200,20,4,2.02122
Serie_A 2018_108_221_2018-12-01 14:00:00,2018-12-01 14:00:00,False,108,Empoli,d,221,SPAL 2013,2.2475,2,2,223,28,10,2.4953000000000003,d,2.2475,0.71811,2,2,205,24,2,0.71811
Serie_A 2018_108_97_2018-12-09 14:00:00,2018-12-09 14:00:00,True,108,Empoli,w,97,Bologna,2.37132,2,2,319,16,9,1.6162,w,2.37132,2.08455,1,1,223,20,6,2.08455
Serie_A 2018_108_110_2018-12-16 14:00:00,2018-12-16 14:00:00,False,108,Empoli,l,110,Fiorentina,1.39435,1,1,253,24,9,1.2240000000000002,l,1.39435,1.58995,3,3,148,29,7,1.58995
Serie_A 2018_102_108_2018-12-22 14:00:00,2018-12-22 14:00:00,True,108,Empoli,l,102,Sampdoria,1.25056,2,2,394,16,5,0.8553,l,0.489264,1.90069,4,4,126,15,11,1.90069
