match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2018_109_98_2018-08-18 19:00:00,2018-08-18 19:00:00,False,98,Juventus,w,109,Chievo,2.25963,3,3,143,21,9,2.269,w,2.25963,1.05146,2,2,441,20,1,0.290159
Serie_A 2018_96_98_2018-08-25 19:00:00,2018-08-25 19:00:00,True,98,Juventus,w,96,Lazio,1.50717,2,2,242,18,5,2.4162,w,1.50717,0.31552,0,0,313,29,1,0.31552
Serie_A 2018_230_98_2018-09-01 18:30:00,2018-09-01 18:30:00,False,98,Juventus,w,230,Parma Calcio 1913,2.18413,2,2,156,26,13,1.5465,w,2.18413,1.9062,1,1,314,17,4,1.9062
Serie_A 2018_104_98_2018-09-16 13:00:00,2018-09-16 13:00:00,True,98,Juventus,w,104,Sassuolo,2.8507,2,2,322,26,9,2.7283999999999997,w,2.8507,0.740742,1,1,224,27,1,0.740742
Serie_A 2018_112_98_2018-09-23 18:30:00,2018-09-23 18:30:00,False,98,Juventus,w,112,Frosinone,2.91794,2,2,130,18,16,2.9303000000000003,w,2.91794,0.0629851,0,0,250,17,1,0.0629851
Serie_A 2018_97_98_2018-09-26 19:00:00,2018-09-26 19:00:00,True,98,Juventus,w,97,Bologna,0.851257,2,2,126,26,9,1.8247,w,0.851257,0.325971,0,0,497,16,1,0.325971
Serie_A 2018_105_98_2018-09-29 16:00:00,2018-09-29 16:00:00,True,98,Juventus,w,105,Napoli,3.04531,3,3,287,25,3,2.4539,w,3.04531,1.42452,1,1,344,24,4,1.42452
Serie_A 2018_98_99_2018-10-06 16:00:00,2018-10-06 16:00:00,False,98,Juventus,w,99,Udinese,2.8144,2,2,263,32,18,2.7106000000000003,w,2.8144,0.742797,0,0,381,18,0,0.742797
Serie_A 2018_101_98_2018-10-20 16:00:00,2018-10-20 16:00:00,True,98,Juventus,d,101,Genoa,1.84684,1,1,195,31,6,2.1568,d,1.84684,0.853192,1,1,320,30,1,0.853192
Serie_A 2018_108_98_2018-10-27 16:00:00,2018-10-27 16:00:00,False,98,Juventus,w,108,Empoli,1.48572,2,2,231,37,6,2.5018,w,0.724419,0.272576,1,1,253,21,7,0.272576
Serie_A 2018_116_98_2018-11-03 19:30:00,2018-11-03 19:30:00,True,98,Juventus,w,116,Cagliari,2.11317,3,3,290,22,12,2.3947,w,2.11317,0.726312,1,1,313,23,4,0.726312
Serie_A 2018_111_98_2018-11-11 19:30:00,2018-11-11 19:30:00,False,98,Juventus,w,111,AC Milan,1.53465,2,2,248,24,1,1.9520999999999997,w,1.53465,0.821584,0,0,364,18,2,0.0602847
Serie_A 2018_221_98_2018-11-24 17:00:00,2018-11-24 17:00:00,True,98,Juventus,w,221,SPAL 2013,1.82422,2,2,347,29,4,2.5632,w,1.82422,0.330703,0,0,281,15,1,0.330703
Serie_A 2018_110_98_2018-12-01 17:00:00,2018-12-01 17:00:00,False,98,Juventus,w,110,Fiorentina,1.73912,3,3,173,22,4,1.8375,w,0.97782,1.15902,0,0,257,24,5,1.15902
Serie_A 2018_106_98_2018-12-07 19:30:00,2018-12-07 19:30:00,True,98,Juventus,w,106,Inter,1.48282,1,1,274,23,7,1.7452999999999999,w,1.48282,1.04485,0,0,237,30,5,1.04485
Serie_A 2018_113_98_2018-12-15 19:30:00,2018-12-15 19:30:00,False,98,Juventus,w,113,Torino,1.35072,1,1,131,21,5,2.0827,w,0.589424,0.610165,0,0,206,17,3,0.610165
Serie_A 2018_95_98_2018-12-22 19:30:00,2018-12-22 19:30:00,True,98,Juventus,w,95,Roma,2.27872,1,1,217,22,6,2.7537,w,2.27872,0.253011,0,0,268,30,5,0.253011
Serie_A 2018_107_98_2018-12-26 14:00:00,2018-12-26 14:00:00,False,98,Juventus,d,107,Atalanta,1.05099,2,2,246,16,3,0.8284,d,1.05099,1.74784,2,2,211,27,11,1.74784
Serie_A 2018_102_98_2018-12-29 11:30:00,2018-12-29 11:30:00,True,98,Juventus,w,102,Sampdoria,1.41949,2,2,231,24,4,1.4726000000000001,w,0.658192,1.23358,1,1,310,29,1,0.472324
Serie_A 2018_109_98_2019-01-21 19:30:00,2019-01-21 19:30:00,True,98,Juventus,w,109,Chievo,3.92751,3,3,217,19,11,2.9468,w,3.16621,0.474778,0,0,406,22,2,0.474778
Serie_A 2018_96_98_2019-01-27 19:30:00,2019-01-27 19:30:00,False,98,Juventus,w,96,Lazio,1.27812,2,2,174,17,3,0.9945999999999999,w,0.516856,1.75032,1,1,331,35,6,1.75032
Serie_A 2018_230_98_2019-02-02 19:30:00,2019-02-02 19:30:00,True,98,Juventus,d,230,Parma Calcio 1913,2.16129,3,3,154,17,25,2.0660000000000003,d,2.16129,1.17447,3,3,274,14,4,1.17447
Serie_A 2018_104_98_2019-02-10 17:00:00,2019-02-10 17:00:00,False,98,Juventus,w,104,Sassuolo,2.10953,3,3,303,26,6,2.5962,w,2.10953,0.437975,0,0,320,22,5,0.437975
Serie_A 2018_112_98_2019-02-15 19:30:00,2019-02-15 19:30:00,True,98,Juventus,w,112,Frosinone,2.08342,3,3,212,22,8,2.4834,w,2.08342,0.632819,0,0,364,21,2,0.632819
Serie_A 2018_97_98_2019-02-24 14:00:00,2019-02-24 14:00:00,False,98,Juventus,w,97,Bologna,0.59336,1,1,215,27,2,0.6762,w,0.59336,1.2656,0,0,242,29,9,1.2656
Serie_A 2018_105_98_2019-03-03 19:30:00,2019-03-03 19:30:00,False,98,Juventus,w,105,Napoli,0.586571,2,2,254,18,4,0.3278,w,0.586571,2.05475,1,1,198,21,5,1.29349
Serie_A 2018_98_99_2019-03-08 19:30:00,2019-03-08 19:30:00,True,98,Juventus,w,99,Udinese,2.73414,4,4,261,21,8,2.9243,w,1.97285,0.099705,1,1,415,24,3,0.099705
Serie_A 2018_101_98_2019-03-17 11:30:00,2019-03-17 11:30:00,False,98,Juventus,l,101,Genoa,0.310238,0,0,188,26,8,0.6712,l,0.310238,1.05123,2,2,298,21,9,1.05123
Serie_A 2018_108_98_2019-03-30 17:00:00,2019-03-30 17:00:00,True,98,Juventus,w,108,Empoli,1.34489,1,1,319,30,5,2.2163,w,1.34489,0.36771,0,0,195,18,2,0.36771
Serie_A 2018_116_98_2019-04-02 20:00:00,2019-04-02 20:00:00,False,98,Juventus,w,116,Cagliari,3.2423,2,2,247,13,11,2.8648000000000002,w,3.2423,0.451801,0,0,278,27,3,0.451801
Serie_A 2018_111_98_2019-04-06 17:00:00,2019-04-06 17:00:00,True,98,Juventus,w,111,AC Milan,1.85527,2,2,270,23,6,1.6669,w,1.09397,1.47352,1,1,212,17,8,1.47352
Serie_A 2018_221_98_2019-04-13 14:00:00,2019-04-13 14:00:00,False,98,Juventus,l,221,SPAL 2013,0.52595,1,1,182,27,7,0.9048999999999999,l,0.52595,0.983596,2,2,279,24,4,0.983596
Serie_A 2018_110_98_2019-04-20 17:00:00,2019-04-20 17:00:00,True,98,Juventus,w,110,Fiorentina,0.900644,2,2,217,20,7,0.8844000000000001,w,0.900644,1.4449,1,1,364,15,7,1.4449
Serie_A 2018_106_98_2019-04-27 19:30:00,2019-04-27 19:30:00,False,98,Juventus,d,106,Inter,0.581189,1,1,312,17,5,0.6806000000000001,d,0.581189,1.35633,1,1,252,23,8,1.35633
Serie_A 2018_113_98_2019-05-03 19:30:00,2019-05-03 19:30:00,True,98,Juventus,d,113,Torino,1.3225,1,1,180,25,11,1.9181,d,1.3225,0.648738,1,1,213,31,2,0.648738
