match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2018_230_99_2018-08-19 21:30:00,2018-08-19 21:30:00,False,99,Udinese,d,230,Parma Calcio 1913,1.99515,2,2,205,19,4,1.7158000000000002,d,1.23385,1.55455,2,2,270,20,7,1.55455
Serie_A 2018_102_99_2018-08-26 21:30:00,2018-08-26 21:30:00,True,99,Udinese,w,102,Sampdoria,1.79867,1,1,302,21,3,2.3264,w,1.79867,0.585585,0,0,142,31,14,0.585585
Serie_A 2018_110_99_2018-09-02 16:00:00,2018-09-02 16:00:00,False,99,Udinese,l,110,Fiorentina,0.165399,0,0,266,21,2,0.44089999999999996,l,0.165399,1.10313,1,1,112,25,10,1.10313
Serie_A 2018_113_99_2018-09-16 13:00:00,2018-09-16 13:00:00,True,99,Udinese,d,113,Torino,0.265642,1,1,329,21,4,0.8523,d,0.265642,0.671125,1,1,159,26,4,0.671125
Serie_A 2018_109_99_2018-09-23 13:00:00,2018-09-23 13:00:00,False,99,Udinese,w,109,Chievo,1.11577,2,2,330,7,8,1.0088,w,1.11577,1.57505,0,0,204,28,6,1.57505
Serie_A 2018_96_99_2018-09-26 17:00:00,2018-09-26 17:00:00,True,99,Udinese,l,96,Lazio,0.842878,1,1,269,17,9,0.7844,l,0.842878,1.50332,2,2,284,29,1,1.50332
Serie_A 2018_97_99_2018-09-30 10:30:00,2018-09-30 10:30:00,False,99,Udinese,l,97,Bologna,0.997014,1,1,221,17,6,1.0548,l,0.997014,1.36167,2,2,260,23,10,1.36167
Serie_A 2018_98_99_2018-10-06 16:00:00,2018-10-06 16:00:00,True,99,Udinese,l,98,Juventus,0.742797,0,0,381,18,0,0.1903,l,0.742797,2.8144,2,2,263,32,18,2.8144
Serie_A 2018_105_99_2018-10-20 18:30:00,2018-10-20 18:30:00,True,99,Udinese,l,105,Napoli,1.72187,0,0,389,18,3,1.155,l,1.72187,2.00576,3,3,250,33,7,1.24446
Serie_A 2018_101_99_2018-10-28 13:00:00,2018-10-28 13:00:00,False,99,Udinese,d,101,Genoa,0.628239,2,2,112,29,2,0.47219999999999995,d,0.628239,1.77066,2,2,277,29,4,1.0094
Serie_A 2018_111_99_2018-11-04 19:30:00,2018-11-04 19:30:00,True,99,Udinese,l,111,AC Milan,0.441246,0,0,236,33,6,0.9755,l,0.441246,0.787543,1,1,180,22,7,0.787543
Serie_A 2018_108_99_2018-11-11 14:00:00,2018-11-11 14:00:00,False,99,Udinese,l,108,Empoli,3.75447,1,1,124,18,11,2.5902999999999996,l,2.99321,1.54705,2,2,255,17,9,1.54705
Serie_A 2018_95_99_2018-11-24 14:00:00,2018-11-24 14:00:00,True,99,Udinese,w,95,Roma,1.36766,1,1,320,22,1,1.4786000000000001,w,1.36766,1.25017,0,0,85,23,6,1.25017
Serie_A 2018_104_99_2018-12-02 14:00:00,2018-12-02 14:00:00,False,99,Udinese,d,104,Sassuolo,0.143306,0,0,331,21,0,0.188,d,0.143306,1.83072,0,0,176,29,13,1.83072
Serie_A 2018_107_99_2018-12-09 14:00:00,2018-12-09 14:00:00,True,99,Udinese,l,107,Atalanta,0.901408,1,1,417,20,2,0.41500000000000004,l,0.901408,2.26187,3,3,171,15,9,2.26187
Serie_A 2018_106_99_2018-12-15 17:00:00,2018-12-15 17:00:00,False,99,Udinese,l,106,Inter,0.32005,0,0,400,11,4,0.1659,l,0.32005,2.20046,1,1,232,28,10,1.43916
Serie_A 2018_112_99_2018-12-22 14:00:00,2018-12-22 14:00:00,True,99,Udinese,d,112,Frosinone,0.369281,1,1,247,16,5,0.4706,d,0.369281,1.22269,1,1,276,25,3,0.461432
Serie_A 2018_221_99_2018-12-26 14:00:00,2018-12-26 14:00:00,False,99,Udinese,d,221,SPAL 2013,0.198335,0,0,257,25,3,0.7552,d,0.198335,0.664209,0,0,222,20,6,0.664209
Serie_A 2018_116_99_2018-12-29 14:00:00,2018-12-29 14:00:00,True,99,Udinese,w,116,Cagliari,1.99558,2,2,284,31,12,2.6451000000000002,w,1.23428,0.328,0,0,243,21,7,0.328
