match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2019_94_97_2019-08-25 19:45:00,2019-08-25 19:45:00,False,97,Bologna,d,94,Verona,2.11,1,1,76,17,14,2.8337999999999997,d,1.3487,0.109745,1,1,271,17,0,0.109745
Serie_A 2019_221_97_2019-08-30 19:45:00,2019-08-30 19:45:00,True,97,Bologna,w,221,SPAL 2013,3.76497,1,1,134,26,5,2.8465000000000003,w,3.76497,0.850525,0,0,217,26,6,0.850525
Serie_A 2019_242_97_2019-09-15 13:00:00,2019-09-15 13:00:00,False,97,Bologna,w,242,Brescia,3.68503,4,4,101,24,10,2.7897999999999996,w,3.68503,1.14311,3,3,311,21,5,1.14311
Serie_A 2019_95_97_2019-09-22 13:00:00,2019-09-22 13:00:00,True,97,Bologna,l,95,Roma,1.34513,1,1,257,15,7,1.2917,l,0.583833,1.45512,2,2,203,24,16,1.45512
Serie_A 2019_101_97_2019-09-25 19:00:00,2019-09-25 19:00:00,False,97,Bologna,d,101,Genoa,1.58656,0,0,147,20,7,2.6109,d,0.825297,0.213674,0,0,224,25,4,0.213674
Serie_A 2019_97_99_2019-09-29 13:00:00,2019-09-29 13:00:00,False,97,Bologna,l,99,Udinese,0.759433,0,0,133,28,7,1.2548,l,0.759433,0.838641,1,1,267,23,6,0.838641
Serie_A 2019_96_97_2019-10-06 14:00:00,2019-10-06 14:00:00,True,97,Bologna,d,96,Lazio,3.37988,2,2,183,27,6,2.5658,d,3.37988,1.59819,2,2,235,22,10,0.836888
Serie_A 2019_97_98_2019-10-19 19:45:00,2019-10-19 19:45:00,False,97,Bologna,l,98,Juventus,0.959285,1,1,317,27,1,0.6759999999999999,l,0.959285,1.85733,2,2,168,28,13,1.85733
Serie_A 2019_102_97_2019-10-27 11:30:00,2019-10-27 11:30:00,True,97,Bologna,w,102,Sampdoria,2.25191,2,2,152,33,13,2.6540999999999997,w,2.25191,0.507876,1,1,235,25,5,0.507876
Serie_A 2019_116_97_2019-10-30 20:00:00,2019-10-30 20:00:00,False,97,Bologna,l,116,Cagliari,1.18024,2,2,192,34,5,1.2431,l,0.41894,1.35196,3,3,254,30,8,1.35196
