match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2019_94_97_2019-08-25 19:45:00,2019-08-25 19:45:00,True,94,Verona,d,97,Bologna,0.109745,1,1,271,17,0,0.09179999999999999,d,0.109745,2.11,1,1,76,17,14,1.3487
Serie_A 2019_243_94_2019-09-01 19:45:00,2019-09-01 19:45:00,False,94,Verona,w,243,Lecce,1.824,1,1,241,19,14,2.0012999999999996,w,1.824,0.994717,0,0,275,20,9,0.994717
Serie_A 2019_111_94_2019-09-15 18:45:00,2019-09-15 18:45:00,True,94,Verona,l,111,AC Milan,0.465316,0,0,283,24,2,0.46099999999999997,l,0.465316,1.47177,1,1,132,31,11,0.710513
Serie_A 2019_94_98_2019-09-21 16:00:00,2019-09-21 16:00:00,False,94,Verona,l,98,Juventus,1.8415,1,1,309,31,7,1.3927,l,1.02083,1.86372,2,2,173,18,10,1.10242
Serie_A 2019_94_99_2019-09-24 17:00:00,2019-09-24 17:00:00,True,94,Verona,d,99,Udinese,0.973188,0,0,182,18,6,1.4533,d,0.973188,0.814274,0,0,281,27,3,0.814274
Serie_A 2019_116_94_2019-09-29 16:00:00,2019-09-29 16:00:00,False,94,Verona,d,116,Cagliari,2.19656,1,1,157,18,8,1.4177,d,2.19656,2.14031,1,1,238,36,7,2.14031
Serie_A 2019_102_94_2019-10-05 17:00:00,2019-10-05 17:00:00,True,94,Verona,w,102,Sampdoria,0.667382,2,2,186,32,6,1.2808,w,0.667382,0.727876,0,0,149,22,5,0.727876
Serie_A 2019_105_94_2019-10-19 17:00:00,2019-10-19 17:00:00,False,94,Verona,l,105,Napoli,1.73959,0,0,264,30,4,0.9617,l,1.73959,2.28168,2,2,207,19,7,2.28168
Serie_A 2019_104_94_2019-10-25 19:45:00,2019-10-25 19:45:00,True,94,Verona,l,104,Sassuolo,0.782917,0,0,159,18,7,1.0994,l,0.782917,1.05439,1,1,208,21,6,1.05439
Serie_A 2019_230_94_2019-10-29 18:00:00,2019-10-29 18:00:00,False,94,Verona,w,230,Parma Calcio 1913,0.372338,1,1,213,24,4,0.6459,w,0.372338,1.17096,0,0,228,19,5,1.17096
Serie_A 2019_242_94_2019-11-03 14:00:00,2019-11-03 14:00:00,True,94,Verona,w,242,Brescia,1.14031,2,2,188,24,5,1.4935,w,1.14031,0.975463,1,1,228,20,11,0.975463
Serie_A 2019_106_94_2019-11-09 17:00:00,2019-11-09 17:00:00,False,94,Verona,l,106,Inter,1.27413,1,1,245,18,3,0.7543,l,0.512834,2.24655,2,2,185,23,12,2.24655
Serie_A 2019_110_94_2019-11-24 14:00:00,2019-11-24 14:00:00,True,94,Verona,w,110,Fiorentina,1.51813,1,1,194,35,5,1.9180000000000001,w,1.51813,0.844664,0,0,233,20,8,0.844664
Serie_A 2019_94_95_2019-12-01 19:45:00,2019-12-01 19:45:00,True,94,Verona,l,95,Roma,1.21801,1,1,157,15,1,0.6636,l,1.21801,2.10824,3,3,293,15,5,1.34694
Serie_A 2019_107_94_2019-12-07 14:00:00,2019-12-07 14:00:00,False,94,Verona,l,107,Atalanta,1.19011,2,2,239,22,4,0.4992,l,1.19011,2.5171,3,3,186,24,15,1.7558
Serie_A 2019_113_94_2019-12-15 11:30:00,2019-12-15 11:30:00,True,94,Verona,d,113,Torino,2.33378,3,3,164,32,3,2.0595,d,1.57248,1.4413,3,3,168,21,6,1.4413
Serie_A 2019_221_94_2020-01-05 14:00:00,2020-01-05 14:00:00,False,94,Verona,w,221,SPAL 2013,2.52979,2,2,266,33,10,1.9892999999999998,w,2.52979,1.60395,0,0,187,19,4,1.60395
Serie_A 2019_101_94_2020-01-12 17:00:00,2020-01-12 17:00:00,True,94,Verona,w,101,Genoa,2.45867,2,2,124,19,12,2.6358,w,1.69737,0.766675,1,1,325,26,3,0.766675
Serie_A 2019_94_97_2020-01-19 14:00:00,2020-01-19 14:00:00,False,94,Verona,d,97,Bologna,2.38484,1,1,151,25,11,2.1946,d,2.38484,1.23818,1,1,211,24,2,1.23818
Serie_A 2019_243_94_2020-01-26 14:00:00,2020-01-26 14:00:00,True,94,Verona,w,243,Lecce,3.25786,3,3,210,35,11,2.9111000000000002,w,2.49668,0.460325,0,0,373,15,4,0.460325
Serie_A 2019_111_94_2020-02-02 14:00:00,2020-02-02 14:00:00,False,94,Verona,d,111,AC Milan,1.19585,1,1,246,26,6,0.8220000000000001,d,1.19585,1.91753,1,1,155,32,16,1.91753
