match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2021_116_260_2021-08-23 16:30:00,2021-08-23 16:30:00,False,260,Spezia,d,116,Cagliari,1.03088,2,2,272,27,5,0.1744,d,1.03088,3.28935,2,2,181,27,10,2.52806
Serie_A 2021_260_96_2021-08-28 16:30:00,2021-08-28 16:30:00,False,260,Spezia,l,96,Lazio,0.735352,1,1,483,9,1,0.1905,l,0.735352,2.71713,6,6,297,28,8,1.95583
Serie_A 2021_260_99_2021-09-12 13:00:00,2021-09-12 13:00:00,True,260,Spezia,l,99,Udinese,0.788419,0,0,209,27,10,1.2952,l,0.788419,0.78059,1,1,261,20,3,0.78059
Serie_A 2021_260_265_2021-09-19 13:00:00,2021-09-19 13:00:00,False,260,Spezia,w,265,Venezia,0.478482,2,2,239,15,5,0.9963,w,0.478482,0.805717,1,1,248,26,4,0.805717
Serie_A 2021_260_98_2021-09-22 16:30:00,2021-09-22 16:30:00,True,260,Spezia,l,98,Juventus,1.03395,2,2,296,17,2,0.4679,l,1.03395,2.54565,3,3,188,26,6,2.54565
Serie_A 2021_111_260_2021-09-25 13:00:00,2021-09-25 13:00:00,True,260,Spezia,l,111,AC Milan,0.953769,1,1,302,19,12,0.7746999999999999,l,0.953769,1.74102,2,2,137,27,8,1.74102
Serie_A 2021_260_94_2021-10-03 13:00:00,2021-10-03 13:00:00,False,260,Spezia,l,94,Verona,1.57689,0,0,207,32,6,2.1532,l,1.57689,0.690616,4,4,263,23,4,0.690616
Serie_A 2021_260_264_2021-10-16 13:00:00,2021-10-16 13:00:00,True,260,Spezia,w,264,Salernitana,1.67718,2,2,165,20,9,1.4074,w,1.67718,1.60938,1,1,223,23,7,1.60938
Serie_A 2021_102_260_2021-10-22 18:45:00,2021-10-22 18:45:00,False,260,Spezia,l,102,Sampdoria,1.05608,1,1,124,18,5,1.3874,l,1.05608,0.974056,2,2,340,23,6,0.974056
Serie_A 2021_101_260_2021-10-26 16:30:00,2021-10-26 16:30:00,True,260,Spezia,d,101,Genoa,2.40615,1,1,256,32,9,2.4194999999999998,d,2.40615,1.0654,1,1,202,26,5,0.3041
