match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2022_102_107_2022-08-13 16:30:00,2022-08-13 16:30:00,True,102,Sampdoria,l,107,Atalanta,0.617683,0,0,215,23,8,0.2132,l,0.617683,2.28675,2,2,232,32,9,2.28675
Serie_A 2022_102_98_2022-08-22 18:45:00,2022-08-22 18:45:00,True,102,Sampdoria,d,98,Juventus,0.948831,0,0,314,14,8,1.4590999999999998,d,0.948831,0.807606,0,0,243,20,4,0.807606
Serie_A 2022_102_264_2022-08-28 16:30:00,2022-08-28 16:30:00,False,102,Sampdoria,l,264,Salernitana,1.66897,0,0,228,28,11,1.262,l,1.66897,1.76461,4,4,321,28,5,1.76461
Serie_A 2022_102_96_2022-08-31 16:30:00,2022-08-31 16:30:00,True,102,Sampdoria,d,96,Lazio,0.740992,1,1,374,18,8,0.6806999999999999,d,0.740992,1.61049,1,1,326,18,9,1.61049
Serie_A 2022_102_94_2022-09-04 16:00:00,2022-09-04 16:00:00,False,102,Sampdoria,l,94,Verona,0.798714,1,1,159,21,8,0.40549999999999997,l,0.798714,2.3433,2,2,138,22,8,2.3433
Serie_A 2022_102_111_2022-09-10 18:45:00,2022-09-10 18:45:00,True,102,Sampdoria,l,111,AC Milan,0.923014,1,1,232,20,11,0.7319,l,0.923014,1.6646,2,2,263,24,5,0.903298
Serie_A 2022_102_260_2022-09-17 16:00:00,2022-09-17 16:00:00,False,102,Sampdoria,l,260,Spezia,1.01245,1,1,190,22,7,1.3096,l,1.01245,1.02757,2,2,161,33,7,1.02757
Serie_A 2022_102_271_2022-10-02 13:00:00,2022-10-02 13:00:00,True,102,Sampdoria,l,271,Monza,0.0814991,0,0,249,23,4,0.26189999999999997,l,0.0814991,1.2288,3,3,202,27,8,1.2288
Serie_A 2022_102_97_2022-10-08 18:45:00,2022-10-08 18:45:00,False,102,Sampdoria,d,97,Bologna,0.823033,1,1,206,30,3,1.4871999999999999,d,0.823033,0.669175,1,1,163,25,3,0.669175
Serie_A 2022_102_95_2022-10-17 16:30:00,2022-10-17 16:30:00,True,102,Sampdoria,l,95,Roma,0.263194,0,0,155,29,4,0.0691,l,0.263194,2.60212,1,1,228,29,1,1.84082
Serie_A 2022_102_272_2022-10-24 16:30:00,2022-10-24 16:30:00,False,102,Sampdoria,w,272,Cremonese,1.19704,1,1,181,23,9,0.9369000000000001,w,1.19704,1.72584,0,0,187,22,8,0.964544
Serie_A 2022_102_106_2022-10-29 18:45:00,2022-10-29 18:45:00,False,102,Sampdoria,l,106,Inter,0.332522,0,0,314,23,7,0.1378,l,0.332522,2.52781,3,3,242,17,7,2.52781
Serie_A 2022_102_110_2022-11-06 14:00:00,2022-11-06 14:00:00,True,102,Sampdoria,l,110,Fiorentina,0.800046,0,0,241,21,5,0.9113,l,0.800046,1.24199,2,2,246,28,12,1.24199
Serie_A 2022_102_113_2022-11-09 19:45:00,2022-11-09 19:45:00,False,102,Sampdoria,l,113,Torino,0.613268,0,0,221,26,4,1.4311,l,0.613268,0.479941,2,2,230,25,7,0.479941
Serie_A 2022_102_243_2022-11-12 17:00:00,2022-11-12 17:00:00,True,102,Sampdoria,l,243,Lecce,0.852999,0,0,132,19,8,1.1351,l,0.852999,1.067,2,2,175,28,4,1.067
Serie_A 2022_102_104_2023-01-04 11:30:00,2023-01-04 11:30:00,False,102,Sampdoria,w,104,Sassuolo,0.851384,2,2,306,25,2,0.8189,w,0.851384,1.44975,1,1,113,18,14,0.688455
Serie_A 2022_102_105_2023-01-08 17:00:00,2023-01-08 17:00:00,True,102,Sampdoria,l,105,Napoli,0.384407,0,0,338,20,2,0.052,l,0.384407,3.41709,2,2,171,21,16,1.8945
Serie_A 2022_102_108_2023-01-16 19:45:00,2023-01-16 19:45:00,False,102,Sampdoria,l,108,Empoli,1.17611,0,0,273,34,2,0.7913,l,1.17611,1.95693,1,1,255,26,8,1.95693
Serie_A 2022_102_99_2023-01-22 11:30:00,2023-01-22 11:30:00,True,102,Sampdoria,l,99,Udinese,1.60507,0,0,177,21,5,1.383,l,1.60507,1.57295,1,1,268,24,4,1.57295
Serie_A 2022_102_107_2023-01-28 19:45:00,2023-01-28 19:45:00,False,102,Sampdoria,l,107,Atalanta,0.960106,0,0,353,20,2,0.7973,l,0.960106,1.82577,2,2,190,19,14,1.82577
Serie_A 2022_102_271_2023-02-06 19:45:00,2023-02-06 19:45:00,False,102,Sampdoria,d,271,Monza,1.5131,2,2,384,19,4,0.8749,d,1.5131,2.17396,2,2,126,20,7,1.41266
Serie_A 2022_102_106_2023-02-13 19:45:00,2023-02-13 19:45:00,True,102,Sampdoria,d,106,Inter,0.478178,0,0,388,16,3,0.5751999999999999,d,0.478178,1.53473,0,0,188,32,19,1.53473
Serie_A 2022_102_97_2023-02-18 14:00:00,2023-02-18 14:00:00,True,102,Sampdoria,l,97,Bologna,2.60391,1,1,349,33,5,2.7166,l,1.08131,0.714025,2,2,219,24,6,0.714025
Serie_A 2022_102_96_2023-02-27 19:45:00,2023-02-27 19:45:00,False,102,Sampdoria,l,96,Lazio,0.374617,0,0,352,21,3,0.4194,l,0.374617,1.57889,1,1,277,29,6,1.57889
