match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2023_101_110_2023-08-19 18:45:00,2023-08-19 18:45:00,False,110,Fiorentina,w,101,Genoa,1.1197,4,4,163,16,6,1.6427,w,1.1197,0.79732,1,1,402,25,5,0.79732
Serie_A 2023_110_243_2023-08-27 16:30:00,2023-08-27 16:30:00,True,110,Fiorentina,d,243,Lecce,1.51003,2,2,150,26,8,2.2676999999999996,d,1.51003,0.494028,2,2,284,30,3,0.494028
Serie_A 2023_106_110_2023-09-03 16:30:00,2023-09-03 16:30:00,False,110,Fiorentina,l,106,Inter,0.346607,0,0,212,14,5,0.0035,l,0.346607,5.21474,4,4,346,29,8,4.45344
Serie_A 2023_107_110_2023-09-17 16:00:00,2023-09-17 16:00:00,True,110,Fiorentina,w,107,Atalanta,1.4533,3,3,226,25,11,2.0526,w,1.4533,0.632092,2,2,266,22,4,0.632092
Serie_A 2023_110_99_2023-09-24 13:00:00,2023-09-24 13:00:00,False,110,Fiorentina,w,99,Udinese,0.281122,2,2,221,17,3,0.13390000000000002,w,0.281122,2.40063,0,0,206,20,9,2.40063
Serie_A 2023_110_112_2023-09-28 16:30:00,2023-09-28 16:30:00,False,110,Fiorentina,d,112,Frosinone,1.45269,1,1,259,31,8,1.6977000000000002,d,1.45269,0.976021,1,1,211,18,3,0.976021
Serie_A 2023_110_116_2023-10-02 18:45:00,2023-10-02 18:45:00,True,110,Fiorentina,w,116,Cagliari,1.52678,3,3,238,15,8,1.9357,w,1.52678,0.81356,0,0,376,19,2,0.81356
Serie_A 2023_105_110_2023-10-08 18:45:00,2023-10-08 18:45:00,False,110,Fiorentina,w,105,Napoli,1.76863,3,3,363,25,8,1.3576000000000001,w,1.76863,1.77418,1,1,261,15,10,1.01288
Serie_A 2023_108_110_2023-10-23 18:45:00,2023-10-23 18:45:00,True,110,Fiorentina,l,108,Empoli,0.764401,0,0,116,22,14,0.5696,l,0.764401,1.79488,2,2,307,23,2,1.79488
Serie_A 2023_110_96_2023-10-30 19:45:00,2023-10-30 19:45:00,False,110,Fiorentina,l,96,Lazio,0.389451,0,0,307,28,5,0.1618,l,0.389451,2.36178,1,1,315,19,5,1.60048
Serie_A 2023_110_98_2023-11-05 19:45:00,2023-11-05 19:45:00,True,110,Fiorentina,l,98,Juventus,0.675388,0,0,128,16,12,1.114,l,0.675388,0.855784,1,1,204,24,1,0.855784
Serie_A 2023_110_97_2023-11-12 14:00:00,2023-11-12 14:00:00,True,110,Fiorentina,w,97,Bologna,1.57435,2,2,345,31,8,0.8029999999999999,w,0.813049,2.31019,1,1,153,24,2,1.54889
Serie_A 2023_110_111_2023-11-25 19:45:00,2023-11-25 19:45:00,False,110,Fiorentina,l,111,AC Milan,1.69486,0,0,230,19,11,1.2591999999999999,l,1.69486,1.78395,1,1,243,24,7,1.02265
Serie_A 2023_110_264_2023-12-03 14:00:00,2023-12-03 14:00:00,True,110,Fiorentina,w,264,Salernitana,3.06935,3,3,248,30,16,2.7363,w,2.30805,0.780756,0,0,253,18,4,0.780756
Serie_A 2023_110_95_2023-12-10 19:45:00,2023-12-10 19:45:00,False,110,Fiorentina,d,95,Roma,0.975261,1,1,190,24,6,1.5472000000000001,d,0.975261,0.702857,1,1,268,16,3,0.702857
Serie_A 2023_110_94_2023-12-17 14:00:00,2023-12-17 14:00:00,True,110,Fiorentina,w,94,Verona,0.330363,1,1,102,22,8,0.0538,w,0.330363,2.92504,0,0,239,22,2,2.06048
Serie_A 2023_110_271_2023-12-22 19:45:00,2023-12-22 19:45:00,False,110,Fiorentina,w,271,Monza,1.95676,1,1,307,24,12,2.4748,w,1.95676,0.659021,0,0,216,12,0,0.659021
Serie_A 2023_110_113_2023-12-29 17:30:00,2023-12-29 17:30:00,True,110,Fiorentina,w,113,Torino,0.885643,1,1,191,10,3,1.7745000000000002,w,0.885643,0.439657,0,0,187,12,1,0.439657
Serie_A 2023_104_110_2024-01-06 19:45:00,2024-01-06 19:45:00,False,110,Fiorentina,l,104,Sassuolo,1.4924,0,0,120,18,8,2.1307,l,0.731098,0.701861,1,1,221,10,2,0.701861
Serie_A 2023_110_99_2024-01-14 17:00:00,2024-01-14 17:00:00,True,110,Fiorentina,d,99,Udinese,1.66667,2,2,119,32,5,1.8237999999999999,d,0.90537,1.16643,2,2,330,20,3,1.16643
Serie_A 2023_106_110_2024-01-28 19:45:00,2024-01-28 19:45:00,True,110,Fiorentina,l,106,Inter,1.89212,0,0,253,18,9,2.4155,l,1.13082,0.617311,1,1,282,14,6,0.617311
Serie_A 2023_110_243_2024-02-02 19:45:00,2024-02-02 19:45:00,False,110,Fiorentina,l,243,Lecce,1.07539,2,2,177,24,4,0.5318,l,1.07539,2.31602,3,3,222,19,4,2.31602
Serie_A 2023_110_112_2024-02-11 11:30:00,2024-02-11 11:30:00,True,110,Fiorentina,w,112,Frosinone,3.17846,5,5,198,20,10,2.5096999999999996,w,3.17846,1.2861,1,1,203,11,8,1.2861
Serie_A 2023_110_97_2024-02-14 18:00:00,2024-02-14 18:00:00,False,110,Fiorentina,l,97,Bologna,0.969673,0,0,398,23,9,0.4155,l,0.969673,2.65166,2,2,209,15,5,2.65166
Serie_A 2023_108_110_2024-02-18 14:00:00,2024-02-18 14:00:00,False,110,Fiorentina,d,108,Empoli,0.920295,1,1,210,24,4,1.2357,d,0.920295,0.945067,1,1,286,22,2,0.183768
Serie_A 2023_110_96_2024-02-26 19:45:00,2024-02-26 19:45:00,True,110,Fiorentina,w,96,Lazio,3.86937,2,2,331,22,8,2.9242000000000004,w,3.10807,0.611852,1,1,348,20,3,0.611852
Serie_A 2023_110_113_2024-03-02 19:45:00,2024-03-02 19:45:00,False,110,Fiorentina,d,113,Torino,0.697752,0,0,131,17,12,1.4207,d,0.697752,0.561691,0,0,241,14,2,0.561691
Serie_A 2023_110_95_2024-03-10 19:45:00,2024-03-10 19:45:00,True,110,Fiorentina,d,95,Roma,2.47793,2,2,394,17,10,2.5738000000000003,d,1.71663,0.776614,2,2,141,14,9,0.776614
Serie_A 2023_110_111_2024-03-30 19:45:00,2024-03-30 19:45:00,True,110,Fiorentina,l,111,AC Milan,1.69969,1,1,321,15,10,0.503,l,1.69969,3.17431,2,2,194,19,10,3.17431
Serie_A 2023_110_98_2024-04-07 18:45:00,2024-04-07 18:45:00,False,110,Fiorentina,l,98,Juventus,0.508961,0,0,100,9,3,0.1355,l,0.508961,2.46449,1,1,360,20,1,2.46449
Serie_A 2023_101_110_2024-04-15 16:30:00,2024-04-15 16:30:00,True,110,Fiorentina,d,101,Genoa,1.78763,1,1,169,17,3,1.4855,d,1.78763,1.59509,1,1,203,29,2,0.833795
Serie_A 2023_110_264_2024-04-21 16:00:00,2024-04-21 16:00:00,False,110,Fiorentina,w,264,Salernitana,2.45106,2,2,99,12,14,2.8028999999999997,w,2.45106,0.32683,0,0,349,21,0,0.32683
Serie_A 2023_104_110_2024-04-28 18:45:00,2024-04-28 18:45:00,True,110,Fiorentina,w,104,Sassuolo,4.29626,5,5,179,19,11,2.9764999999999997,w,4.29626,0.268378,1,1,371,15,2,0.268378
Serie_A 2023_110_94_2024-05-05 13:00:00,2024-05-05 13:00:00,False,110,Fiorentina,l,94,Verona,1.10741,1,1,120,20,8,0.9977,l,1.10741,1.49212,2,2,254,22,4,0.730824
Serie_A 2023_110_271_2024-05-13 18:45:00,2024-05-13 18:45:00,True,110,Fiorentina,w,271,Monza,2.45011,2,2,299,25,12,2.2762000000000002,w,2.45011,1.19628,1,1,182,13,1,1.19628
Serie_A 2023_105_110_2024-05-17 16:00:00,2024-05-17 16:00:00,True,110,Fiorentina,d,105,Napoli,0.566509,2,2,166,20,8,0.7208000000000001,d,0.566509,1.32124,2,2,282,24,8,1.32124
Serie_A 2023_110_116_2024-05-24 16:00:00,2024-05-24 16:00:00,False,110,Fiorentina,w,116,Cagliari,2.21632,3,3,118,16,5,1.4909999999999999,w,1.45502,2.08262,2,2,252,24,8,2.08262
Serie_A 2023_107_110_2024-06-02 16:00:00,2024-06-02 16:00:00,False,110,Fiorentina,w,107,Atalanta,1.0071,3,3,284,26,4,0.8043,w,1.0071,1.69732,2,2,261,17,4,1.69732
