match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2024_101_106_2024-08-17 16:30:00,2024-08-17 16:30:00,False,106,Inter,d,101,Genoa,2.00656,2,2,136,18,7,1.0954,d,2.00656,2.31286,2,2,281,15,2,1.40418
Serie_A 2024_106_243_2024-08-24 18:45:00,2024-08-24 18:45:00,True,106,Inter,w,243,Lecce,2.48059,2,2,227,20,12,2.806,w,1.71929,0.335346,0,0,365,13,4,0.335346
Serie_A 2024_106_107_2024-08-30 18:45:00,2024-08-30 18:45:00,True,106,Inter,w,107,Atalanta,2.28876,4,4,198,13,9,2.2084,w,2.28876,1.17772,0,0,363,22,13,1.17772
Serie_A 2024_106_271_2024-09-15 18:45:00,2024-09-15 18:45:00,False,106,Inter,d,271,Monza,1.8081,1,1,236,34,5,2.6096000000000004,d,1.8081,0.217777,1,1,316,10,1,0.217777
Serie_A 2024_106_111_2024-09-22 18:45:00,2024-09-22 18:45:00,True,106,Inter,l,111,AC Milan,0.941382,1,1,275,25,6,0.3627,l,0.941382,2.75751,2,2,333,9,8,2.75751
Serie_A 2024_106_99_2024-09-28 13:00:00,2024-09-28 13:00:00,False,106,Inter,w,99,Udinese,2.30465,3,3,251,17,9,2.2752999999999997,w,2.30465,0.984798,2,2,397,21,4,0.984798
Serie_A 2024_106_113_2024-10-05 18:45:00,2024-10-05 18:45:00,True,106,Inter,w,113,Torino,3.44641,3,3,92,19,11,2.6386000000000003,w,3.44641,1.29026,2,2,321,6,1,0.528958
Serie_A 2024_106_95_2024-10-20 18:45:00,2024-10-20 18:45:00,False,106,Inter,w,95,Roma,0.796917,1,1,290,19,5,1.313,w,0.796917,0.78742,0,0,260,19,9,0.78742
Serie_A 2024_106_98_2024-10-27 17:00:00,2024-10-27 17:00:00,True,106,Inter,d,98,Juventus,2.82542,4,4,276,13,10,1.7106999999999999,d,1.30283,2.36179,4,4,244,15,7,2.36179
Serie_A 2024_106_108_2024-10-30 17:30:00,2024-10-30 17:30:00,False,106,Inter,w,108,Empoli,1.68832,3,3,116,22,14,2.4617,w,1.68832,0.319674,0,0,375,12,0,0.319674
Serie_A 2024_106_265_2024-11-03 19:45:00,2024-11-03 19:45:00,True,106,Inter,w,265,Venezia,3.34539,1,1,221,20,10,2.6660999999999997,w,3.34539,1.14021,0,0,265,16,1,1.14021
Serie_A 2024_105_106_2024-11-10 19:45:00,2024-11-10 19:45:00,True,106,Inter,d,105,Napoli,1.47373,1,1,237,35,5,1.7458,d,0.712432,1.00611,1,1,279,17,2,1.00611
Serie_A 2024_106_94_2024-11-23 14:00:00,2024-11-23 14:00:00,False,106,Inter,w,94,Verona,2.79774,5,5,219,15,10,2.7727,w,2.79774,0.554633,0,0,558,17,2,0.554633
Serie_A 2024_106_230_2024-12-06 17:30:00,2024-12-06 17:30:00,True,106,Inter,w,230,Parma Calcio 1913,3.0797,3,3,244,14,13,2.8867,w,3.0797,0.274097,1,1,325,9,1,0.274097
Serie_A 2024_106_96_2024-12-16 19:45:00,2024-12-16 19:45:00,False,106,Inter,w,96,Lazio,2.33306,6,6,270,21,6,2.6078,w,1.57176,0.634641,0,0,335,23,2,0.634641
Serie_A 2024_106_286_2024-12-23 19:45:00,2024-12-23 19:45:00,True,106,Inter,w,286,Como,1.89916,2,2,180,30,10,2.4933,w,1.89916,0.367536,0,0,349,19,6,0.367536
Serie_A 2024_106_116_2024-12-28 17:00:00,2024-12-28 17:00:00,False,106,Inter,w,116,Cagliari,3.1724,3,3,165,12,9,2.9196,w,2.4111,0.302293,0,0,371,11,1,0.302293
